arena,scenario,method,detect_rate,arl1_mean_delay
ar1_snr0.1,level_3s,lsc_composite,0.766,112.6
ar1_snr0.1,level_3s,lsc_kalman_cusum,0.654,63.9
ar1_snr0.1,level_3s,raw_cusum,0.966,72.3
ar1_snr0.1,variance_x3,lsc_composite,0.99,29.3
ar1_snr0.1,variance_x3,lsc_kalman_cusum,0.87,80.4
ar1_snr0.1,variance_x3,raw_cusum,0.728,104.0
ar1_snr0.5,level_3s,lsc_composite,0.53,86.4
ar1_snr0.5,level_3s,lsc_kalman_cusum,0.554,77.2
ar1_snr0.5,level_3s,raw_cusum,0.99,81.8
ar1_snr0.5,variance_x3,lsc_composite,0.992,25.2
ar1_snr0.5,variance_x3,lsc_kalman_cusum,0.224,107.2
ar1_snr0.5,variance_x3,raw_cusum,0.076,137.6
ar1_snr2.0,level_3s,lsc_composite,0.67,63.2
ar1_snr2.0,level_3s,lsc_kalman_cusum,0.674,49.0
ar1_snr2.0,level_3s,raw_cusum,0.988,96.6
ar1_snr2.0,variance_x3,lsc_composite,0.976,17.2
ar1_snr2.0,variance_x3,lsc_kalman_cusum,0.268,114.6
ar1_snr2.0,variance_x3,raw_cusum,0.058,172.9
