source,arena,method,far_empirical,arl0
grid_v1,ar1_snr0.1,lsc_composite,0.052,7022.869778441112
grid_v1,ar1_snr0.1,lsc_kalman_cusum,0.034,10841.330811294758
grid_v1,ar1_snr0.1,lsc_state_cusum,0.05,7311.397166230558
grid_v1,ar1_snr0.1,raw_cusum,0.04,9186.724357168616
grid_v1,ar1_snr0.5,lsc_composite,0.048,7623.962877790094
grid_v1,ar1_snr0.5,lsc_kalman_cusum,0.048,7623.962877790094
grid_v1,ar1_snr0.5,lsc_state_cusum,0.054,6755.709773687518
grid_v1,ar1_snr0.5,raw_cusum,0.062,5859.387080991207
grid_v1,ar1_snr2.0,lsc_composite,0.062,5859.387080991207
grid_v1,ar1_snr2.0,lsc_kalman_cusum,0.048,7623.962877790094
grid_v1,ar1_snr2.0,lsc_state_cusum,0.078,4618.154790414208
grid_v1,ar1_snr2.0,raw_cusum,0.082,4383.497392848294
grid_v4_varbench,ar1_snr0.1,raw_var_cusum,0.06,6061.066530752994
grid_v4_varbench,ar1_snr0.1,arima_var_cusum,0.044,8334.321162488228
grid_v4_varbench,ar1_snr0.5,raw_var_cusum,0.066,5492.6846489900445
grid_v4_varbench,ar1_snr0.5,arima_var_cusum,0.06,6061.066530752994
grid_v4_varbench,ar1_snr2.0,raw_var_cusum,0.06,6061.066530752994
grid_v4_varbench,ar1_snr2.0,arima_var_cusum,0.042,8740.230619837403
grid_v4_varbench,ar1_t5,raw_var_cusum,0.068,5325.505377870916
grid_v4_varbench,ar1_t5,arima_var_cusum,0.066,5492.6846489900445
