arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
ar1,abrupt_level_0.5s,lsc_kalman_cusum,500,0.04,0.008772337648291433,0.032,0.007878842066230875,0.928,0.011571508095282932,244.27892561983472,1.4187786575859191,98.5,111.55,16.466948555723434
ar1,abrupt_level_0.5s,lsc_state_cusum,500,0.086,0.012550818542716023,0.0,0.0,0.914,0.012550818542716023,242.556,1.3234821260129475,167.0,163.4418604651163,8.88472392916248
ar1,abrupt_level_0.5s,lsc_composite,500,0.04,0.008772337648291433,0.022,0.006566447781940086,0.938,0.010795605132662119,244.67075664621677,1.365440295641784,118.0,119.7,17.71397010390684
ar1,abrupt_level_0.5s,raw_cusum,500,0.11,0.01400686919941566,0.0,0.0,0.89,0.01400686919941566,240.532,1.4973677478644614,186.0,163.92727272727274,8.139352572531147
ar1,abrupt_level_0.5s,arima_cusum,500,0.03,0.007636532803997706,0.018,0.005951709476392708,0.952,0.009569490597759172,245.10794297352342,1.3306867743144817,79.0,89.86666666666666,15.905933803418463
ar1,abrupt_level_0.5s,plain_hmm,500,0.018,0.005951709476392708,0.016,0.005617036781471955,0.966,0.008112930375552174,247.4451219512195,0.9294743853240581,131.0,110.33333333333333,22.46911460452127
ar1,abrupt_level_1s,lsc_kalman_cusum,500,0.112,0.014117741364768125,0.032,0.007878842066230875,0.856,0.015716934945725784,233.69628099173553,2.3501314967953304,116.5,109.08928571428571,9.997995798695033
ar1,abrupt_level_1s,lsc_state_cusum,500,0.214,0.01835979750238704,0.0,0.0,0.786,0.01835979750238704,231.892,1.905347572161437,174.0,165.38317757009347,5.1737684078404005
ar1,abrupt_level_1s,lsc_composite,500,0.104,0.013665338743182763,0.022,0.006566447781940086,0.874,0.01485561775078758,235.24539877300614,2.234546230451762,90.0,111.25,10.580969677027905
ar1,abrupt_level_1s,raw_cusum,500,0.28,0.020099950647503192,0.0,0.0,0.72,0.020099950647503192,225.144,2.214906352037619,168.5,161.22857142857143,4.698837000028942
ar1,abrupt_level_1s,arima_cusum,500,0.064,0.01095664621097098,0.018,0.005951709476392708,0.918,0.012282251724127365,240.44806517311608,1.8234829568102466,100.5,103.4375,12.59655750944319
ar1,abrupt_level_1s,plain_hmm,500,0.03,0.007636532803997706,0.016,0.005617036781471955,0.954,0.009377840251121315,245.90447154471545,1.1832924154735043,105.0,115.66666666666667,19.00066832575625
ar1,abrupt_level_3s,lsc_kalman_cusum,500,0.67,0.021049612166134782,0.032,0.007878842066230875,0.298,0.020475118092988954,110.38842975206612,4.7805659125665105,23.0,48.29253731343284,3.2012338583112308
ar1,abrupt_level_3s,lsc_state_cusum,500,0.958,0.008979602804860922,0.0,0.0,0.042,0.008979602804860922,131.984,2.4617815143608697,122.0,126.81002087682673,2.2957678861177735
ar1,abrupt_level_3s,lsc_composite,500,0.664,0.021144791425048808,0.022,0.006566447781940086,0.314,0.020776701920308976,116.9038854805726,4.588757110694868,36.0,53.963855421686745,2.9066131391248256
ar1,abrupt_level_3s,raw_cusum,500,0.984,0.0056170367814719555,0.0,0.0,0.016,0.0056170367814719555,106.416,2.0485622036453783,98.5,104.08130081300813,1.9080071363317748
ar1,abrupt_level_3s,arima_cusum,500,0.126,0.01485561775078758,0.018,0.005951709476392708,0.856,0.015716934945725784,221.80448065173115,3.3447699307200685,25.0,30.253968253968253,3.1909665324390444
ar1,abrupt_level_3s,plain_hmm,500,0.132,0.015152927850580223,0.016,0.005617036781471955,0.852,0.01589645856125128,224.0752032520325,3.165072679886451,25.0,56.74242424242424,8.160148503095337
ar1,ramp_1s_hl25,lsc_kalman_cusum,500,0.096,0.01318771517979239,0.036,0.008339490043664344,0.868,0.015152927850580224,238.53734439834025,1.8505951171902844,130.0,134.89583333333334,9.905817098885489
ar1,ramp_1s_hl25,lsc_state_cusum,500,0.208,0.018169542221229962,0.0,0.0,0.792,0.018169542221229962,232.356,1.8911550605187961,175.5,165.17307692307693,5.288898753058793
ar1,ramp_1s_hl25,lsc_composite,500,0.086,0.012550818542716023,0.026,0.007123868260853507,0.888,0.014117741364768123,239.83778234086242,1.7646606461315184,150.0,134.90697674418604,10.979988540191357
ar1,ramp_1s_hl25,raw_cusum,500,0.272,0.019920483209566107,0.0,0.0,0.728,0.019920483209566107,226.14,2.1908812659390935,169.0,162.27941176470588,4.871627554536228
ar1,ramp_1s_hl25,arima_cusum,500,0.056,0.01029271002989587,0.026,0.007123868260853507,0.918,0.012282251724127365,242.53798767967146,1.5818067956388642,116.0,120.21428571428571,13.976582563927732
ar1,ramp_1s_hl25,plain_hmm,500,0.03,0.007636532803997706,0.014,0.005259593772650755,0.956,0.009181317617116443,246.1947261663286,1.0902657204627608,131.0,124.93333333333334,17.02028668178532
ar1,variance_x3,lsc_kalman_cusum,500,0.1,0.013429844431075358,0.032,0.007878842066230875,0.868,0.015152927850580224,236.42355371900825,2.0616453250739006,122.0,118.58,9.460339986124241
ar1,variance_x3,lsc_state_cusum,500,0.06,0.010631371130019327,0.0,0.0,0.94,0.01063137113001933,244.812,1.186501109044373,179.0,163.53333333333333,12.70376298069717
ar1,variance_x3,lsc_composite,500,0.978,0.006566447781940087,0.022,0.006566447781940086,0.0,0.0,23.296523517382415,0.5457850067880503,19.0,23.296523517382415,0.5457850067880503
ar1,variance_x3,raw_cusum,500,0.044,0.009181317617116443,0.0,0.0,0.956,0.009181317617116443,245.862,1.058057125945252,176.5,155.95454545454547,14.21030619115712
ar1,variance_x3,arima_cusum,500,0.044,0.009181317617116443,0.018,0.005951709476392708,0.938,0.010795605132662119,243.23217922606923,1.54023248389462,85.0,98.95454545454545,14.05931732972978
ar1,variance_x3,plain_hmm,500,0.122,0.01465132494504475,0.016,0.005617036781471955,0.862,0.015439843831953423,231.58536585365854,2.5070557748610187,101.0,101.47540983606558,9.632073202813558
local_level,abrupt_level_0.5s,lsc_kalman_cusum,500,0.032,0.007878842066230875,0.02,0.006267260734501832,0.948,0.00993929470125102,245.32448979591837,1.3155200768466024,129.5,106.8125,20.138731081757197
local_level,abrupt_level_0.5s,lsc_state_cusum,500,0.078,0.012005008974630627,0.0,0.0,0.922,0.012005008974630627,245.38,0.9255747280227075,204.0,190.76923076923077,7.6879474822056295
local_level,abrupt_level_0.5s,lsc_composite,500,0.034,0.008112930375552174,0.014,0.005259593772650755,0.952,0.009569490597759172,244.9269776876268,1.3266573918710396,137.0,102.88235294117646,16.230164897349493
local_level,abrupt_level_0.5s,raw_cusum,500,0.07,0.011421949126295709,0.0,0.0,0.93,0.011421949126295712,245.94,0.8549143565961612,208.0,192.0,7.8245465946446195
local_level,abrupt_level_0.5s,arima_cusum,500,0.024,0.00685141472745119,0.058,0.010463793860924815,0.918,0.012282251724127365,246.25477707006368,1.199628442935722,89.5,103.0,22.339325292977286
local_level,abrupt_level_0.5s,plain_hmm,500,0.098,0.013309631572104852,0.22,0.01854421137582028,0.682,0.020847571620814014,231.87179487179486,2.766675985806482,115.0,105.71428571428571,10.700983806256728
local_level,abrupt_level_1s,lsc_kalman_cusum,500,0.034,0.008112930375552174,0.02,0.006267260734501832,0.946,0.010117941761592718,244.81224489795918,1.4081519425133098,126.0,100.47058823529412,19.945167048217844
local_level,abrupt_level_1s,lsc_state_cusum,500,0.08,0.012144751540478706,0.0,0.0,0.92,0.012144751540478706,245.33,0.9307668095218129,213.0,191.625,7.6270173876010805
local_level,abrupt_level_1s,lsc_composite,500,0.036,0.008339490043664343,0.014,0.005259593772650755,0.95,0.009756555783754997,244.42393509127788,1.414103358797826,105.0,97.27777777777777,16.222675479387284
local_level,abrupt_level_1s,raw_cusum,500,0.074,0.011718474529160406,0.0,0.0,0.926,0.011718474529160403,245.822,0.868867362136461,208.0,193.54054054054055,7.708035138580356
local_level,abrupt_level_1s,arima_cusum,500,0.026,0.007123868260853507,0.058,0.010463793860924815,0.916,0.012417584015643749,245.26963906581742,1.3985465319522594,64.0,78.61538461538461,19.88413181974139
local_level,abrupt_level_1s,plain_hmm,500,0.098,0.013309631572104852,0.22,0.01854421137582028,0.682,0.020847571620814014,231.8948717948718,2.7863011905260007,115.0,105.89795918367346,11.068211702320308
local_level,abrupt_level_3s,lsc_kalman_cusum,500,0.054,0.010117941761592716,0.02,0.006267260734501832,0.926,0.011718474529160406,239.5469387755102,2.123112285715525,8.0,60.2962962962963,15.188541078694406
local_level,abrupt_level_3s,lsc_state_cusum,500,0.078,0.012005008974630627,0.0,0.0,0.922,0.012005008974630627,244.772,1.0079523639219623,197.0,182.97435897435898,7.87662004238845
local_level,abrupt_level_3s,lsc_composite,500,0.068,0.01126969440686162,0.014,0.005259593772650755,0.918,0.012282251724127365,236.07707910750509,2.3929125705372054,12.0,48.11764705882353,9.380524131801621
local_level,abrupt_level_3s,raw_cusum,500,0.074,0.011718474529160403,0.0,0.0,0.926,0.011718474529160403,245.3,0.9368069248403631,195.0,186.48648648648648,7.7861451623329865
local_level,abrupt_level_3s,arima_cusum,500,0.032,0.007878842066230875,0.058,0.010463793860924815,0.91,0.012811255071733838,243.40552016985137,1.7102556041692039,19.5,55.875,16.461033533773023
local_level,abrupt_level_3s,plain_hmm,500,0.104,0.013665338743182763,0.22,0.01854421137582028,0.676,0.020950557312477556,228.73589743589744,3.068997386291188,92.0,90.51923076923077,10.32443142024265
local_level,ramp_1s_hl25,lsc_kalman_cusum,500,0.03,0.007636532803997706,0.02,0.006267260734501832,0.95,0.009756555783754997,245.82857142857142,1.2186823875896842,133.0,113.73333333333333,20.220561592376978
local_level,ramp_1s_hl25,lsc_state_cusum,500,0.078,0.012005008974630627,0.0,0.0,0.922,0.012005008974630627,245.328,0.9308048276918792,211.0,190.10256410256412,7.668907277333138
local_level,ramp_1s_hl25,lsc_composite,500,0.03,0.007636532803997706,0.014,0.005259593772650755,0.956,0.009181317617116443,245.1866125760649,1.333030531201949,72.0,91.8,17.865689383364334
local_level,ramp_1s_hl25,raw_cusum,500,0.074,0.011718474529160406,0.0,0.0,0.926,0.011718474529160403,245.824,0.8681274898753955,208.0,193.56756756756758,7.6975036455453525
local_level,ramp_1s_hl25,arima_cusum,500,0.026,0.007123868260853508,0.056,0.01029271002989587,0.918,0.012282251724127365,245.7584745762712,1.2964019868777386,66.0,96.0,21.75239450420727
local_level,ramp_1s_hl25,plain_hmm,500,0.094,0.013064047561049166,0.226,0.01872295644913999,0.68,0.02088234048876172,233.63824289405684,2.613980467186341,121.0,115.27659574468085,11.200911078959605
local_level,variance_x3,lsc_kalman_cusum,500,0.668,0.021081766571222797,0.02,0.006267260734501832,0.312,0.020740596536488017,148.2,4.041061726283235,92.0,100.65269461077844,3.7223982695024196
local_level,variance_x3,lsc_state_cusum,500,0.076,0.01186294478271882,0.0,0.0,0.924,0.01186294478271882,245.42,0.9223299762939187,205.0,189.73684210526315,7.76308918165217
