arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
ar1,abrupt_level_0.5s,lsc_kalman_cusum,500,0.04,0.008772337648291433,0.032,0.007878842066230875,0.928,0.011571508095282932,244.27892561983472,1.4187786575859191,98.5,111.55,16.466948555723434
ar1,abrupt_level_0.5s,lsc_composite,500,0.04,0.008772337648291433,0.032,0.007878842066230875,0.928,0.011571508095282932,244.27892561983472,1.4187786575859191,98.5,111.55,16.466948555723434
ar1,abrupt_level_0.5s,raw_cusum,500,0.11,0.01400686919941566,0.0,0.0,0.89,0.01400686919941566,240.532,1.4973677478644614,186.0,163.92727272727274,8.139352572531147
ar1,abrupt_level_0.5s,plain_hmm,500,0.018,0.005951709476392708,0.016,0.005617036781471955,0.966,0.008112930375552174,247.4451219512195,0.9294743853240581,131.0,110.33333333333333,22.46911460452127
ar1,abrupt_level_1s,lsc_kalman_cusum,500,0.112,0.014117741364768125,0.032,0.007878842066230875,0.856,0.015716934945725784,233.69628099173553,2.3501314967953304,116.5,109.08928571428571,9.997995798695033
ar1,abrupt_level_1s,lsc_composite,500,0.112,0.014117741364768125,0.032,0.007878842066230875,0.856,0.015716934945725784,233.69628099173553,2.3501314967953304,116.5,109.08928571428571,9.997995798695033
ar1,abrupt_level_1s,raw_cusum,500,0.28,0.020099950647503192,0.0,0.0,0.72,0.020099950647503192,225.144,2.214906352037619,168.5,161.22857142857143,4.698837000028942
ar1,abrupt_level_1s,plain_hmm,500,0.03,0.007636532803997706,0.016,0.005617036781471955,0.954,0.009377840251121315,245.90447154471545,1.1832924154735043,105.0,115.66666666666667,19.00066832575625
ar1,abrupt_level_3s,lsc_kalman_cusum,500,0.67,0.021049612166134782,0.032,0.007878842066230875,0.298,0.020475118092988954,110.38842975206612,4.7805659125665105,23.0,48.29253731343284,3.2012338583112308
ar1,abrupt_level_3s,lsc_composite,500,0.67,0.021049612166134782,0.032,0.007878842066230875,0.298,0.020475118092988954,110.38842975206612,4.7805659125665105,23.0,48.29253731343284,3.2012338583112308
ar1,abrupt_level_3s,raw_cusum,500,0.984,0.0056170367814719555,0.0,0.0,0.016,0.0056170367814719555,106.416,2.0485622036453783,98.5,104.08130081300813,1.9080071363317748
ar1,abrupt_level_3s,plain_hmm,500,0.132,0.015152927850580223,0.016,0.005617036781471955,0.852,0.01589645856125128,224.0752032520325,3.165072679886451,25.0,56.74242424242424,8.160148503095337
ar1,ramp_1s_hl25,lsc_kalman_cusum,500,0.096,0.01318771517979239,0.036,0.008339490043664344,0.868,0.015152927850580224,238.53734439834025,1.8505951171902844,130.0,134.89583333333334,9.905817098885489
ar1,ramp_1s_hl25,lsc_composite,500,0.096,0.01318771517979239,0.036,0.008339490043664344,0.868,0.015152927850580224,238.53734439834025,1.8505951171902844,130.0,134.89583333333334,9.905817098885489
ar1,ramp_1s_hl25,raw_cusum,500,0.272,0.019920483209566107,0.0,0.0,0.728,0.019920483209566107,226.14,2.1908812659390935,169.0,162.27941176470588,4.871627554536228
ar1,ramp_1s_hl25,plain_hmm,500,0.03,0.007636532803997706,0.014,0.005259593772650755,0.956,0.009181317617116443,246.1947261663286,1.0902657204627608,131.0,124.93333333333334,17.02028668178532
ar1,variance_x3,lsc_kalman_cusum,500,0.1,0.013429844431075358,0.032,0.007878842066230875,0.868,0.015152927850580224,236.42355371900825,2.0616453250739006,122.0,118.58,9.460339986124241
ar1,variance_x3,lsc_composite,500,0.272,0.019920483209566103,0.032,0.007878842066230875,0.696,0.02059164957122494,205.58677685950414,3.6150048874720837,74.0,91.94117647058823,5.773821213535238
ar1,variance_x3,raw_cusum,500,0.044,0.009181317617116443,0.0,0.0,0.956,0.009181317617116443,245.862,1.058057125945252,176.5,155.95454545454547,14.21030619115712
ar1,variance_x3,plain_hmm,500,0.122,0.01465132494504475,0.016,0.005617036781471955,0.862,0.015439843831953423,231.58536585365854,2.5070557748610187,101.0,101.47540983606558,9.632073202813558
local_level,abrupt_level_0.5s,lsc_kalman_cusum,500,0.032,0.007878842066230875,0.02,0.006267260734501832,0.948,0.00993929470125102,245.32448979591837,1.3155200768466024,129.5,106.8125,20.138731081757197
local_level,abrupt_level_0.5s,lsc_composite,500,0.032,0.007878842066230875,0.02,0.006267260734501832,0.948,0.00993929470125102,245.32448979591837,1.3155200768466024,129.5,106.8125,20.138731081757197
local_level,abrupt_level_0.5s,raw_cusum,500,0.07,0.011421949126295709,0.0,0.0,0.93,0.011421949126295712,245.94,0.8549143565961612,208.0,192.0,7.8245465946446195
local_level,abrupt_level_0.5s,plain_hmm,500,0.098,0.013309631572104852,0.22,0.01854421137582028,0.682,0.020847571620814014,231.87179487179486,2.766675985806482,115.0,105.71428571428571,10.700983806256728
local_level,abrupt_level_1s,lsc_kalman_cusum,500,0.034,0.008112930375552174,0.02,0.006267260734501832,0.946,0.010117941761592718,244.81224489795918,1.4081519425133098,126.0,100.47058823529412,19.945167048217844
local_level,abrupt_level_1s,lsc_composite,500,0.034,0.008112930375552174,0.02,0.006267260734501832,0.946,0.010117941761592718,244.81224489795918,1.4081519425133098,126.0,100.47058823529412,19.945167048217844
local_level,abrupt_level_1s,raw_cusum,500,0.074,0.011718474529160406,0.0,0.0,0.926,0.011718474529160403,245.822,0.868867362136461,208.0,193.54054054054055,7.708035138580356
local_level,abrupt_level_1s,plain_hmm,500,0.098,0.013309631572104852,0.22,0.01854421137582028,0.682,0.020847571620814014,231.8948717948718,2.7863011905260007,115.0,105.89795918367346,11.068211702320308
local_level,abrupt_level_3s,lsc_kalman_cusum,500,0.054,0.010117941761592716,0.02,0.006267260734501832,0.926,0.011718474529160406,239.5469387755102,2.123112285715525,8.0,60.2962962962963,15.188541078694406
local_level,abrupt_level_3s,lsc_composite,500,0.054,0.010117941761592716,0.02,0.006267260734501832,0.926,0.011718474529160406,239.5469387755102,2.123112285715525,8.0,60.2962962962963,15.188541078694406
local_level,abrupt_level_3s,raw_cusum,500,0.074,0.011718474529160403,0.0,0.0,0.926,0.011718474529160403,245.3,0.9368069248403631,195.0,186.48648648648648,7.7861451623329865
local_level,abrupt_level_3s,plain_hmm,500,0.104,0.013665338743182763,0.22,0.01854421137582028,0.676,0.020950557312477556,228.73589743589744,3.068997386291188,92.0,90.51923076923077,10.32443142024265
local_level,ramp_1s_hl25,lsc_kalman_cusum,500,0.03,0.007636532803997706,0.02,0.006267260734501832,0.95,0.009756555783754997,245.82857142857142,1.2186823875896842,133.0,113.73333333333333,20.220561592376978
