snr,method,threshold,far_target,far_empirical
0.1,lsc_state_cusum,491.79207866361406,0.05,0.048
0.1,lsc_kalman_cusum,17.37222163333921,0.05,0.034
0.1,lsc_composite,35.27645805462219,0.05,0.052
0.1,raw_cusum,27.489993868664545,0.05,0.04
0.5,lsc_state_cusum,525.3112493592541,0.05,0.054
0.5,lsc_kalman_cusum,22.14512831289292,0.05,0.048
0.5,lsc_composite,32.52839035699555,0.05,0.048
0.5,raw_cusum,103.1923208203622,0.05,0.062
2.0,lsc_state_cusum,439.8500307912761,0.05,0.078
2.0,lsc_kalman_cusum,15.365947273698362,0.05,0.048
2.0,lsc_composite,20.924038421699123,0.05,0.062
2.0,raw_cusum,213.88728356819817,0.05,0.082
