scenario,method,n,precision,precision_se,recall,recall_se,f1,f1_se,n_alarms,n_alarms_se,mean_matched_delay,mean_matched_delay_se,fp,fp_se,recall_break1,recall_break2
level_up_down,lsc_composite,500,0.827354260089686,0.024453440066629684,0.196,0.011551401202429035,0.25366666666666665,0.01470695716925689,0.478,0.025065685252039463,52.67724867724868,1.9313823740663045,0.086,0.012550818542716023,0.366,0.026
level_up_down,lsc_kalman_cusum,500,0.8326612903225806,0.023665037793854496,0.21,0.011316188060669941,0.2776666666666666,0.014836832429005393,0.504,0.023087530576834596,39.61352657004831,1.7621553975142485,0.084,0.012417584015643749,0.412,0.008
level_up_down,lsc_state_cusum,500,0.40555555555555556,0.036699005733991985,0.073,0.007903602587917453,0.09733333333333333,0.010538136783889937,0.36,0.02148775108972057,60.71232876712329,3.7979546412038494,0.214,0.01835979750238704,0.1,0.046
level_up_down,raw_cusum,500,0.801948051948052,0.01852981699771679,0.371,0.009793355892607934,0.49433333333333335,0.013053262588997569,0.928,0.012244666746279984,64.3989218328841,1.0414060449056093,0.186,0.017647403823889986,0.738,0.004
level_then_var,lsc_composite,500,0.926,0.011193685594762288,0.481,0.006508665412425331,0.6293333333333333,0.0076882012916171145,1.048,0.009569490597759172,34.082089552238806,1.0598116804362792,0.086,0.012550818542716023,0.366,0.596
level_then_var,lsc_kalman_cusum,500,0.7532051282051281,0.020416973302764683,0.314,0.012045671271987525,0.3907333333333333,0.014635839041811182,0.874,0.030034182263021857,42.49666666666667,1.5310771656757893,0.246,0.020876773681743004,0.412,0.216
level_then_var,lsc_state_cusum,500,0.6107226107226107,0.023568378520011618,0.262,0.011178636940508238,0.34933333333333333,0.014904849254010982,0.858,0.01562563024781025,49.30534351145038,1.8280375006508616,0.334,0.02111349234774381,0.1,0.424
level_then_var,raw_cusum,500,0.812,0.017490678880346257,0.406,0.008745339440173128,0.5413333333333332,0.011660452586897505,1.0,0.0,60.62068965517241,1.1625205504972316,0.188,0.01749067888034626,0.738,0.074
var_up_down,lsc_composite,500,0.994,0.003457152557758369,0.497,0.0017285762788791844,0.6626666666666665,0.0023047683718389125,1.0,0.0,21.77665995975855,0.33358872224910185,0.006,0.003457152557758369,0.994,0.0
var_up_down,lsc_kalman_cusum,500,0.618312757201646,0.04970903416581521,0.06,0.007675795442255003,0.07286666666666666,0.009246784031149766,0.202,0.023053305832778936,49.54385964912281,3.8354565473964817,0.082,0.013817882172586034,0.106,0.014
var_up_down,lsc_state_cusum,500,0.6086956521739131,0.10405096111532161,0.014,0.0036925967206130374,0.018666666666666665,0.004923462294150717,0.046,0.009377840251121315,65.21428571428571,8.08959348564261,0.018,0.005951709476392708,0.01,0.018
var_up_down,raw_cusum,500,0.7272727272727273,0.0787295821622217,0.024,0.004784745298879586,0.031999999999999994,0.006379660398506115,0.066,0.011114633153652916,45.958333333333336,5.077471971203534,0.018,0.005951709476392708,0.016,0.032
