arena,scenario,localize_rate,localize_rate_se,n,window
ar1_snr0.1,level_0.5s,0.023333333333333334,0.008730235947285765,300,25
ar1_snr0.1,level_1s,0.07,0.014755532945588958,300,25
ar1_snr0.1,level_3s,0.83,0.021723405684078406,300,25
ar1_snr0.1,variance_x1.5,0.0033333333333333335,0.0033333333333333322,300,25
ar1_snr0.1,variance_x3,0.20333333333333334,0.023275928749679643,300,25
ar1_snr0.5,level_0.5s,0.03333333333333333,0.010381070730216603,300,25
ar1_snr0.5,level_1s,0.10666666666666667,0.017851944882371792,300,25
ar1_snr0.5,level_3s,0.9066666666666666,0.016823122945106274,300,25
ar1_snr0.5,variance_x1.5,0.006666666666666667,0.004706155586970109,300,25
ar1_snr0.5,variance_x3,0.013333333333333334,0.006633137535414969,300,25
ar1_snr2.0,level_0.5s,0.023333333333333334,0.008730235947285765,300,25
ar1_snr2.0,level_1s,0.10666666666666667,0.017851944882371792,300,25
ar1_snr2.0,level_3s,0.9166666666666666,0.015983780333266074,300,25
ar1_snr2.0,variance_x1.5,0.02,0.008096409047527361,300,25
ar1_snr2.0,variance_x3,0.016666666666666666,0.007403535467669016,300,25
