series,segment,window_start,window_end,n_train,phi,lb_pvalue_lag12,lb_pvalue_lag24,acf_max_abs_diff_lag1_5,lb_pvalue_lag4,lb_pvalue_lag8
indpro,0,1948-01,1957-12,120,0.755,0.3969,0.1377,0.0664,,
indpro,1,1953-01,1962-12,120,0.52,0.5321,0.5394,0.0895,,
indpro,2,1958-01,1967-12,120,0.557,0.0129,0.0027,0.2675,,
indpro,3,1963-01,1972-12,120,0.98,0.3663,0.2868,0.379,,
indpro,4,1968-01,1977-12,120,0.757,0.4253,0.2353,0.0979,,
indpro,5,1973-01,1982-12,120,0.636,0.9587,0.9714,0.0931,,
indpro,6,1978-01,1987-12,120,0.662,0.6169,0.8755,0.1065,,
indpro,7,1983-01,1992-12,120,0.96,0.5291,0.8455,0.2641,,
indpro,8,1988-01,1997-12,120,0.99,0.2821,0.3234,0.2854,,
indpro,9,1993-01,2002-12,120,0.973,0.2726,0.0675,0.2653,,
indpro,10,1998-01,2007-12,120,0.953,0.4567,0.365,0.2548,,
indpro,11,2003-01,2012-12,120,0.885,0.3594,0.7139,0.1664,,
indpro,12,2008-01,2017-12,120,0.888,0.1346,0.4742,0.1455,,
gdp,0,1947-04,1962-01,60,0.668,,,0.5351,0.162,0.5083
gdp,1,1952-04,1967-01,60,0.73,,,0.5376,0.2848,0.2227
gdp,2,1957-04,1972-01,60,0.984,,,0.6452,0.4414,0.2012
gdp,3,1962-04,1977-01,60,0.942,,,0.706,0.1844,0.0462
gdp,4,1967-04,1982-01,60,0.875,,,0.3073,0.9633,0.8559
gdp,5,1972-04,1987-01,60,0.847,,,0.3844,0.9212,0.3673
gdp,6,1977-04,1992-01,60,0.916,,,0.4308,0.8548,0.5025
gdp,7,1982-04,1997-01,60,0.92,,,0.6726,0.3341,0.535
gdp,8,1987-04,2002-01,60,0.978,,,0.7299,0.2265,0.3944
gdp,9,1992-04,2007-01,60,0.989,,,0.763,0.3029,0.4384
gdp,10,1997-04,2012-01,60,0.927,,,0.4977,0.7302,0.6603
gdp,11,2002-04,2017-01,60,0.865,,,0.4352,0.5442,0.8255
gs10,0,1953-05,1963-04,120,0.374,0.0072,0.0095,0.1909,,
gs10,1,1958-05,1968-04,120,0.307,0.0742,0.1906,0.1433,,
gs10,2,1963-05,1973-04,120,0.266,0.1792,0.0557,0.218,,
gs10,3,1968-05,1978-04,120,0.242,0.4186,0.1908,0.2222,,
gs10,4,1973-05,1983-04,120,0.288,0.0003,0.0002,0.2598,,
gs10,5,1978-05,1988-04,120,0.331,0.0086,0.0081,0.2408,,
gs10,6,1983-05,1993-04,120,0.408,0.0203,0.0048,0.212,,
gs10,7,1988-05,1998-04,120,0.404,0.5348,0.0178,0.1671,,
gs10,8,1993-05,2003-04,120,0.282,0.3304,0.2645,0.1447,,
gs10,9,1998-05,2008-04,120,0.152,0.6868,0.701,0.1441,,
gs10,10,2003-05,2013-04,120,0.219,0.2117,0.7007,0.1771,,
gs10,11,2008-05,2018-04,120,0.23,0.2977,0.2336,0.1394,,
unrate,0,1948-02,1958-01,120,0.843,0.0662,0.129,0.159,,
unrate,1,1953-02,1963-01,120,0.783,0.0054,0.0068,0.1157,,
unrate,2,1958-02,1968-01,120,0.762,0.0011,0.0204,0.208,,
unrate,3,1963-02,1973-01,120,0.01,0.0001,0.002,0.338,,
unrate,4,1968-02,1978-01,120,0.847,0.4386,0.0365,0.1397,,
unrate,5,1973-02,1983-01,120,0.835,0.6776,0.1363,0.0786,,
unrate,6,1978-02,1988-01,120,0.885,0.7399,0.4542,0.085,,
unrate,7,1983-02,1993-01,120,0.965,0.1632,0.1705,0.1913,,
unrate,8,1988-02,1998-01,120,0.01,0.0461,0.037,0.2331,,
unrate,9,1993-02,2003-01,120,0.01,0.0215,0.0831,0.2097,,
unrate,10,1998-02,2008-01,120,0.01,0.0402,0.0552,0.1881,,
unrate,11,2003-02,2013-01,120,0.922,0.1784,0.0341,0.1287,,
unrate,12,2008-02,2018-01,120,0.948,0.1525,0.1234,0.1008,,
