draw_index,seed,null_max_score
0,100000,5.537485872209425
1,100001,7.032755860025537
2,100002,8.629828224105124
3,100003,3.929975255642665
4,100004,4.299857635672915
5,100005,6.106231217156318
6,100006,4.3453500596460835
7,100007,10.309793900671496
8,100008,4.447566172386474
9,100009,5.040755888853296
10,100010,5.845790618706261
11,100011,4.23806593532162
12,100012,3.7341568081306775
13,100013,10.26138654167771
14,100014,4.57213439984954
15,100015,5.717756871647243
16,100016,32.16287623799144
17,100017,5.63082113933734
18,100018,6.974471887508957
19,100019,5.976521537106348
20,100020,4.9784672790759235
21,100021,10.547737436336337
22,100022,5.324263590168485
23,100023,8.065026705464447
24,100024,3.3678019279923213
25,100025,5.301169502580614
26,100026,3.48465920492972
27,100027,5.31523260393072
28,100028,4.705419023530584
29,100029,4.708904451415069
30,100030,4.276513564301152
31,100031,30.60404931292715
32,100032,6.229189100053789
33,100033,7.268222650877649
34,100034,5.378233638652478
35,100035,6.918261035976167
36,100036,5.680896350761991
37,100037,8.052448233899316
38,100038,6.652621783296645
39,100039,6.287655612579558
40,100040,4.18466508813489
41,100041,4.105339519029741
42,100042,6.925417514808128
43,100043,6.741897844318991
44,100044,10.190841683307337
45,100045,11.364082910331312
46,100046,6.1183844631710755
47,100047,4.5192533274432005
48,100048,7.511143488893968
49,100049,4.652606060501827
50,100050,9.272025077501667
51,100051,3.7565128815837685
52,100052,6.032208181054871
53,100053,4.585315963110608
54,100054,4.545946835170559
55,100055,31.930563995226883
56,100056,4.749738791180654
57,100057,4.121841394046203
58,100058,6.0665410386560366
59,100059,6.561337465193244
60,100060,3.829384527598794
61,100061,6.5393772032249275
62,100062,4.846352243752545
63,100063,7.724770188575192
64,100064,3.688581692938439
65,100065,17.993553011308283
66,100066,6.529735600244311
67,100067,5.171552919253501
68,100068,5.907325908703339
69,100069,4.1676986461058005
70,100070,5.889322836261385
71,100071,5.813391476602055
72,100072,5.147253015947907
73,100073,4.814090070341298
74,100074,8.312987909029713
75,100075,5.325543043854144
76,100076,5.465165487218675
77,100077,3.433560386094186
78,100078,5.647329075663291
79,100079,4.801279756848896
80,100080,5.7070989109370736
81,100081,5.415330124676364
82,100082,6.406155337764459
83,100083,4.880022885811466
84,100084,17.84058025316849
85,100085,10.131658049574568
86,100086,6.99827377289224
87,100087,6.686382665328495
88,100088,5.561351510535479
89,100089,9.71742314741578
90,100090,51.95247609734133
91,100091,5.892501573733477
92,100092,3.676856661687321
93,100093,8.156010067344273
94,100094,3.885704131282571
95,100095,6.6096596988523295
96,100096,4.856110092178726
97,100097,6.367007965788524
98,100098,28.644604427133096
99,100099,3.3717400449168133
100,100100,3.508903458596663
101,100101,5.591810623026199
102,100102,6.248411937095879
103,100103,4.476069531142304
104,100104,3.9050534997651383
105,100105,6.32035736471274
106,100106,6.951322368808837
107,100107,3.6424113044774593
108,100108,4.422658732584578
109,100109,9.217335899594248
110,100110,12.355803136777054
111,100111,6.778032817555939
112,100112,5.260759590035951
113,100113,7.534218780747906
114,100114,9.642239594365222
115,100115,22.08236341721504
116,100116,2.9905118768247543
117,100117,8.724774277386967
118,100118,5.175258080732148
119,100119,5.722424962916301
120,100120,3.995456782645678
121,100121,5.1208462740971665
122,100122,34.972484164460376
123,100123,28.875049618059073
124,100124,5.899224319819368
125,100125,5.431229272936919
126,100126,14.168628510356314
127,100127,3.2384249115378325
128,100128,7.1776603577202405
129,100129,5.223563365011858
130,100130,25.109846717722824
131,100131,6.4386268283196415
132,100132,5.799909418993483
133,100133,6.327320361019037
134,100134,55.74668566363801
135,100135,5.175020320805651
136,100136,5.250266269966827
137,100137,3.391715243737173
138,100138,7.29615421902919
139,100139,4.588060331588472
140,100140,2.8818207861186886
141,100141,50.184414371330156
142,100142,5.254769665339758
143,100143,6.919532931050702
144,100144,4.568801547993942
145,100145,4.904631983451122
146,100146,22.305328375336195
147,100147,10.459242225546499
148,100148,6.671182764246187
149,100149,6.544010442571842
150,100150,5.445678846156653
151,100151,5.755837710120231
152,100152,35.46582614073419
153,100153,6.293864467661235
154,100154,7.091376151376243
155,100155,5.419623506857511
156,100156,9.431180934657647
157,100157,4.538803487507848
158,100158,33.76244143550775
159,100159,3.6931132332359677
160,100160,8.127531013530055
161,100161,7.98353541968185
162,100162,6.173967029596966
163,100163,5.377092306349166
164,100164,18.469623667582265
165,100165,7.91665392341441
166,100166,6.707638592100071
167,100167,12.161873944095026
168,100168,4.605999325122786
169,100169,8.974945814068827
170,100170,3.252057424029985
171,100171,3.9132468243003986
172,100172,6.865737319480076
173,100173,5.977591737785145
174,100174,3.1277963636902952
175,100175,48.74489775880167
176,100176,4.723453937974298
177,100177,8.469972073044055
178,100178,4.257237620962714
179,100179,16.196911984769315
180,100180,4.5458211536546385
181,100181,21.161481100737074
182,100182,6.043954134387328
183,100183,3.3957221076768542
184,100184,4.921775949865892
185,100185,9.749612406344536
186,100186,4.4127493213749185
187,100187,6.575065361794662
188,100188,4.144031127078683
189,100189,4.402609848597589
190,100190,7.774536719233037
191,100191,3.2143937397779005
192,100192,3.981864804248878
193,100193,4.878361143344847
194,100194,9.351600376030557
195,100195,5.057222491575558
196,100196,10.320773697131143
197,100197,8.799652051773961
198,100198,51.22372821816593
199,100199,7.1120238774050515
200,100200,7.959445313087521
201,100201,3.451138223427181
202,100202,4.5913800962559765
203,100203,6.359018495330447
204,100204,5.4426488990882085
205,100205,5.407380148910769
206,100206,21.743392590989096
207,100207,5.1476934954485385
208,100208,5.876713834016961
209,100209,7.044839833646372
210,100210,6.2749355478395294
211,100211,5.969964327422025
212,100212,7.17015610041426
213,100213,6.513034789671098
214,100214,5.250480769973991
215,100215,4.14713369769653
216,100216,4.048105356787085
217,100217,5.225599329338745
218,100218,8.666929803901414
219,100219,3.0156982051579173
220,100220,4.267214123023444
221,100221,6.345907430550826
222,100222,6.7378680692545725
223,100223,5.905678819421135
224,100224,5.375476676372315
225,100225,5.400863631758579
226,100226,23.632119974555717
227,100227,5.42508485268721
228,100228,12.36213648144135
229,100229,6.996647815789085
230,100230,5.729048093764365
231,100231,6.776882300530048
232,100232,4.301453576844032
233,100233,6.149676420836771
234,100234,23.40611848953418
235,100235,6.659856608944351
236,100236,4.254748036110217
237,100237,4.4163289775712045
238,100238,9.984180181373766
239,100239,5.23619647743823
240,100240,5.507713072631594
241,100241,5.990635596795224
242,100242,7.713647732117174
243,100243,3.45532662124994
244,100244,4.928709887264515
245,100245,8.28734911644855
246,100246,5.396340166083588
247,100247,5.3992205658299826
248,100248,4.513033952401763
249,100249,8.89142866217757
250,100250,22.136696730659068
251,100251,12.884340026093216
252,100252,5.706818531744615
253,100253,15.652763488589159
254,100254,6.333133485248885
255,100255,10.497453689460146
256,100256,5.062487559415982
257,100257,5.617650352222064
258,100258,9.379147397078462
259,100259,4.047940741498131
260,100260,9.892351925786645
261,100261,5.361923352520037
262,100262,4.524421105540191
263,100263,4.186595479514935
264,100264,8.573046328086779
265,100265,94.14067043431083
266,100266,5.39720757161039
267,100267,3.849854468852561
268,100268,5.128242703081686
269,100269,10.920535810533014
270,100270,3.993242173176787
271,100271,12.830170812987634
272,100272,9.894729598524963
273,100273,11.244068904387362
274,100274,6.403553293562581
275,100275,8.220927590765001
276,100276,5.460684003695089
277,100277,8.416917082351395
278,100278,7.3849958023845055
279,100279,4.065581808870206
280,100280,16.08676990886317
281,100281,6.947828424122893
282,100282,16.40528409131451
283,100283,4.551244161364364
284,100284,7.622444628779398
285,100285,3.561876962216334
286,100286,10.992279796407626
287,100287,5.665034572098316
288,100288,3.5725298672417205
289,100289,6.64640132011325
290,100290,4.4379527198231195
291,100291,14.27673850253359
292,100292,4.274492840692502
293,100293,2.8819273216103
294,100294,8.897738721758785
295,100295,4.67519650148288
296,100296,7.81732185807488
297,100297,3.38049393146854
298,100298,20.23772522631933
299,100299,13.180423785249019
300,100300,7.300170281325833
301,100301,15.595123857422571
302,100302,3.5633711414218494
303,100303,4.504047634176263
304,100304,3.5201207774122567
305,100305,4.349892059149996
306,100306,5.31202258404643
307,100307,5.2481868956003375
308,100308,6.707508393257146
309,100309,4.564459048717956
310,100310,6.030033518156148
311,100311,4.377226815315543
312,100312,7.653602759609569
313,100313,5.0893082920661925
