channel,snr,ratio,mu_inf,det_raw,det_innov
level,0.1,0.0,0.0,0.036,0.018
level,0.1,0.2,0.0286,0.052,0.03
level,0.1,0.4,0.0571,0.068,0.038
level,0.1,0.6,0.0857,0.086,0.052
level,0.1,0.8,0.1143,0.14,0.092
level,0.1,1.0,0.1429,0.198,0.13
level,0.1,1.2,0.1714,0.262,0.172
level,0.1,1.4,0.2,0.374,0.254
level,0.1,1.6,0.2286,0.452,0.312
level,0.1,1.8,0.2571,0.55,0.384
level,0.1,2.0,0.2857,0.66,0.46
level,0.1,2.2,0.3143,0.744,0.524
level,0.1,2.4,0.3429,0.816,0.58
level,0.1,2.6,0.3714,0.886,0.608
level,0.1,2.8,0.4,0.942,0.636
level,0.1,3.0,0.4286,0.966,0.654
level,0.1,3.2,0.4571,0.97,0.704
level,0.1,3.4,0.4857,0.982,0.738
level,0.1,3.6,0.5143,0.986,0.772
level,0.1,3.8,0.5429,0.99,0.8
level,0.1,4.0,0.5714,0.99,0.826
level,0.5,0.0,0.0,0.05,0.032
level,0.5,0.2,0.0312,0.048,0.028
level,0.5,0.4,0.0625,0.092,0.04
level,0.5,0.6,0.0937,0.13,0.06
level,0.5,0.8,0.1249,0.198,0.082
level,0.5,1.0,0.1562,0.3,0.112
level,0.5,1.2,0.1874,0.384,0.134
level,0.5,1.4,0.2186,0.482,0.162
level,0.5,1.6,0.2499,0.582,0.192
level,0.5,1.8,0.2811,0.71,0.228
level,0.5,2.0,0.3123,0.808,0.264
level,0.5,2.2,0.3436,0.88,0.316
level,0.5,2.4,0.3748,0.934,0.356
level,0.5,2.6,0.4061,0.972,0.414
level,0.5,2.8,0.4373,0.982,0.462
level,0.5,3.0,0.4685,0.99,0.554
level,0.5,3.2,0.4998,0.994,0.606
level,0.5,3.4,0.531,0.998,0.652
level,0.5,3.6,0.5622,0.998,0.694
level,0.5,3.8,0.5935,0.998,0.75
level,0.5,4.0,0.6247,0.998,0.788
level,2.0,0.0,0.0,0.044,0.03
level,2.0,0.2,0.0318,0.058,0.034
level,2.0,0.4,0.0636,0.08,0.042
level,2.0,0.6,0.0955,0.142,0.062
level,2.0,0.8,0.1273,0.204,0.086
level,2.0,1.0,0.1591,0.294,0.116
level,2.0,1.2,0.1909,0.378,0.138
level,2.0,1.4,0.2228,0.462,0.18
level,2.0,1.6,0.2546,0.582,0.234
level,2.0,1.8,0.2864,0.69,0.298
level,2.0,2.0,0.3182,0.792,0.344
level,2.0,2.2,0.35,0.876,0.412
level,2.0,2.4,0.3819,0.93,0.502
level,2.0,2.6,0.4137,0.97,0.566
level,2.0,2.8,0.4455,0.978,0.612
level,2.0,3.0,0.4773,0.988,0.674
level,2.0,3.2,0.5092,0.994,0.73
level,2.0,3.4,0.541,0.998,0.772
level,2.0,3.6,0.5728,0.998,0.814
level,2.0,3.8,0.6046,0.998,0.834
level,2.0,4.0,0.6364,0.998,0.862
