channel,snr,ratio,mu_inf,det_raw,det_innov
level,2.0,0.0,0.0,0.044,0.03
level,2.0,0.2,0.0318,0.058,0.034
level,2.0,0.4,0.0636,0.08,0.042
level,2.0,0.6,0.0955,0.142,0.062
level,2.0,0.8,0.1273,0.204,0.086
level,2.0,1.0,0.1591,0.294,0.116
level,2.0,1.2,0.1909,0.378,0.138
level,2.0,1.4,0.2228,0.462,0.18
level,2.0,1.6,0.2546,0.582,0.234
level,2.0,1.8,0.2864,0.69,0.298
level,2.0,2.0,0.3182,0.792,0.344
level,2.0,2.2,0.35,0.876,0.412
level,2.0,2.4,0.3819,0.93,0.502
level,2.0,2.6,0.4137,0.97,0.566
level,2.0,2.8,0.4455,0.978,0.612
level,2.0,3.0,0.4773,0.988,0.674
level,2.0,3.2,0.5092,0.994,0.73
level,2.0,3.4,0.541,0.998,0.772
level,2.0,3.6,0.5728,0.998,0.814
level,2.0,3.8,0.6046,0.998,0.834
level,2.0,4.0,0.6364,0.998,0.862
