channel,snr,vol_mult,det_raw,det_arima
r,0.5,1.0,0.028,0.036
r,0.5,1.125,0.074,0.1
r,0.5,1.25,0.168,0.372
r,0.5,1.375,0.35,0.726
r,0.5,1.5,0.56,0.942
r,0.5,1.625,0.756,0.996
r,0.5,1.75,0.888,0.998
r,0.5,1.875,0.966,0.998
r,0.5,2.0,0.986,0.998
r,0.5,2.125,0.992,0.998
r,0.5,2.25,0.998,0.998
r,0.5,2.375,0.998,0.998
r,0.5,2.5,0.998,0.998
r,0.5,2.625,0.998,0.998
r,0.5,2.75,0.998,0.998
r,0.5,2.875,0.998,0.998
r,0.5,3.0,0.998,0.998
r,0.5,3.125,0.998,0.998
r,0.5,3.25,0.998,0.998
r,0.5,3.375,0.998,0.998
r,0.5,3.5,0.998,0.998
