channel,snr,vol_mult,det_raw,det_arima
r,0.1,1.0,0.028,0.022
r,0.1,1.125,0.226,0.066
r,0.1,1.25,0.606,0.284
r,0.1,1.375,0.896,0.642
r,0.1,1.5,0.996,0.9
r,0.1,1.625,1.0,0.974
r,0.1,1.75,1.0,0.98
r,0.1,1.875,1.0,0.98
r,0.1,2.0,1.0,0.98
r,0.1,2.125,1.0,0.98
r,0.1,2.25,1.0,0.98
r,0.1,2.375,1.0,0.98
r,0.1,2.5,1.0,0.98
r,0.1,2.625,1.0,0.98
r,0.1,2.75,1.0,0.98
r,0.1,2.875,1.0,0.98
r,0.1,3.0,1.0,0.98
r,0.1,3.125,1.0,0.98
r,0.1,3.25,1.0,0.98
r,0.1,3.375,1.0,0.98
r,0.1,3.5,1.0,0.98
r,0.5,1.0,0.028,0.036
r,0.5,1.125,0.074,0.1
r,0.5,1.25,0.168,0.372
r,0.5,1.375,0.35,0.726
r,0.5,1.5,0.56,0.942
r,0.5,1.625,0.756,0.996
r,0.5,1.75,0.888,0.998
r,0.5,1.875,0.966,0.998
r,0.5,2.0,0.986,0.998
r,0.5,2.125,0.992,0.998
r,0.5,2.25,0.998,0.998
r,0.5,2.375,0.998,0.998
r,0.5,2.5,0.998,0.998
r,0.5,2.625,0.998,0.998
r,0.5,2.75,0.998,0.998
r,0.5,2.875,0.998,0.998
r,0.5,3.0,0.998,0.998
r,0.5,3.125,0.998,0.998
r,0.5,3.25,0.998,0.998
r,0.5,3.375,0.998,0.998
r,0.5,3.5,0.998,0.998
r,2.0,1.0,0.04,0.022
r,2.0,1.125,0.052,0.098
r,2.0,1.25,0.062,0.308
r,2.0,1.375,0.076,0.624
r,2.0,1.5,0.102,0.868
r,2.0,1.625,0.134,0.98
r,2.0,1.75,0.166,0.998
r,2.0,1.875,0.226,0.998
r,2.0,2.0,0.294,0.998
r,2.0,2.125,0.386,0.998
r,2.0,2.25,0.466,0.998
r,2.0,2.375,0.548,0.998
r,2.0,2.5,0.608,0.998
r,2.0,2.625,0.694,0.998
r,2.0,2.75,0.748,0.998
r,2.0,2.875,0.812,0.998
r,2.0,3.0,0.852,0.998
r,2.0,3.125,0.89,0.998
r,2.0,3.25,0.926,0.998
r,2.0,3.375,0.952,0.998
r,2.0,3.5,0.964,0.998
