t,Y,raw_var_cusum_score
0.000000000000000000e+00,-1.096621910184257365e+00,nan
1.000000000000000000e+00,1.570312618760050238e-01,nan
2.000000000000000000e+00,-1.536057870689488736e+00,nan
3.000000000000000000e+00,5.025964396513832311e-01,nan
4.000000000000000000e+00,-2.486020270426487766e-01,nan
5.000000000000000000e+00,5.448864716694324928e-01,nan
6.000000000000000000e+00,-1.273532616592078170e+00,nan
7.000000000000000000e+00,-3.005424884160127763e-01,nan
8.000000000000000000e+00,7.927840829406731515e-01,nan
9.000000000000000000e+00,-9.185146726095072545e-01,nan
1.000000000000000000e+01,4.382945948532601110e-01,nan
1.100000000000000000e+01,-1.645531873794323419e+00,nan
1.200000000000000000e+01,-1.416767542984510353e+00,nan
1.300000000000000000e+01,1.169726555060864648e+00,nan
1.400000000000000000e+01,1.632870569007861539e-01,nan
1.500000000000000000e+01,-1.984751065969731498e-01,nan
1.600000000000000000e+01,3.066552850499563165e-01,nan
1.700000000000000000e+01,-6.007018128193708506e-01,nan
1.800000000000000000e+01,1.850007687243031551e+00,nan
1.900000000000000000e+01,9.605134844919180903e-01,nan
2.000000000000000000e+01,8.508634238550081275e-01,nan
2.100000000000000000e+01,1.001118828904923541e+00,nan
2.200000000000000000e+01,1.627373330922647465e+00,nan
2.300000000000000000e+01,1.283234387515283181e+00,nan
2.400000000000000000e+01,1.287991139139366581e+00,nan
2.500000000000000000e+01,1.126295593434441411e+00,nan
2.600000000000000000e+01,1.054326350294269465e+00,nan
2.700000000000000000e+01,1.927005091680798810e+00,nan
2.800000000000000000e+01,-1.980397631888840770e+00,nan
2.900000000000000000e+01,1.681359707215567267e-01,nan
3.000000000000000000e+01,-1.013605161707969105e+00,nan
3.100000000000000000e+01,-6.355559175634521996e-01,nan
3.200000000000000000e+01,-1.089481966284395753e+00,nan
3.300000000000000000e+01,-1.034912443345660460e+00,nan
3.400000000000000000e+01,-9.812635075386733075e-02,nan
3.500000000000000000e+01,8.104411489077902875e-01,nan
3.600000000000000000e+01,-1.625987740007679871e+00,nan
3.700000000000000000e+01,-1.161994526101561176e+00,nan
3.800000000000000000e+01,1.274462565306619721e+00,nan
3.900000000000000000e+01,5.211784909788839126e-01,nan
4.000000000000000000e+01,-4.188828617791989228e-01,nan
4.100000000000000000e+01,-1.721891378295809405e+00,nan
4.200000000000000000e+01,-1.239461234498289599e+00,nan
4.300000000000000000e+01,4.090508513718050243e-01,nan
4.400000000000000000e+01,3.652304478834819124e-01,nan
4.500000000000000000e+01,-7.227349217625005373e-01,nan
4.600000000000000000e+01,5.020497682793805261e-01,nan
4.700000000000000000e+01,-3.957177610772188436e-01,nan
4.800000000000000000e+01,-5.452252147465859178e-01,nan
4.900000000000000000e+01,-4.836474301656507602e-01,nan
5.000000000000000000e+01,6.268304707260086150e-02,nan
5.100000000000000000e+01,2.008628860499012403e-01,nan
5.200000000000000000e+01,-2.264912382258187917e-01,nan
5.300000000000000000e+01,-1.319862489414375784e+00,nan
5.400000000000000000e+01,-5.197820321036938918e-01,nan
5.500000000000000000e+01,8.010019713814932052e-01,nan
5.600000000000000000e+01,-6.757550990826242110e-01,nan
5.700000000000000000e+01,-2.651360125829373970e-01,nan
5.800000000000000000e+01,-6.220912684615708121e-01,nan
5.900000000000000000e+01,1.921271558220745135e+00,nan
6.000000000000000000e+01,6.497198100605761084e-01,nan
6.100000000000000000e+01,-2.108582993508259840e+00,nan
6.200000000000000000e+01,1.588155199573532572e+00,nan
6.300000000000000000e+01,1.303163074231954877e+00,nan
6.400000000000000000e+01,4.614190439001470412e-01,nan
6.500000000000000000e+01,-2.116029998633546683e+00,nan
6.600000000000000000e+01,6.489213034198207941e-01,nan
6.700000000000000000e+01,-3.592284518788672054e-01,nan
6.800000000000000000e+01,-8.965159826812724164e-02,nan
6.900000000000000000e+01,6.487583748834400144e-01,nan
7.000000000000000000e+01,6.491921998537315552e-01,nan
7.100000000000000000e+01,-1.259779276327853914e+00,nan
7.200000000000000000e+01,3.277736189068546135e+00,nan
7.300000000000000000e+01,-1.772822185258727257e-01,nan
7.400000000000000000e+01,-6.205899552134148678e-01,nan
7.500000000000000000e+01,7.405870038940638445e-01,nan
7.600000000000000000e+01,-1.499665256786925083e-01,nan
7.700000000000000000e+01,4.049507332995203601e-01,nan
7.800000000000000000e+01,-2.124606268352716154e-01,nan
7.900000000000000000e+01,-1.069652054846360612e+00,nan
8.000000000000000000e+01,-5.553379610733828464e-01,nan
8.100000000000000000e+01,9.860384131596213741e-01,nan
8.200000000000000000e+01,-5.703076682296931432e-02,nan
8.300000000000000000e+01,4.167455717579623409e-01,nan
8.400000000000000000e+01,9.814534728224101334e-01,nan
8.500000000000000000e+01,1.175092301602985501e+00,nan
8.600000000000000000e+01,9.602040200377826018e-01,nan
8.700000000000000000e+01,2.079162592278013255e-01,nan
8.800000000000000000e+01,1.473702756589401641e+00,nan
8.900000000000000000e+01,-8.627339901531423660e-03,nan
9.000000000000000000e+01,1.661251861089882098e+00,nan
9.100000000000000000e+01,-6.415868568520113335e-01,nan
9.200000000000000000e+01,-7.523346209643847482e-01,nan
9.300000000000000000e+01,-6.694428608430587069e-01,nan
9.400000000000000000e+01,-5.508710753086620837e-02,nan
9.500000000000000000e+01,-5.203019413911231794e-01,nan
9.600000000000000000e+01,-4.293476692173560316e+00,nan
9.700000000000000000e+01,-3.448490071888226094e-01,nan
9.800000000000000000e+01,-6.234275959316423199e-01,nan
9.900000000000000000e+01,-8.640532325801486557e-01,nan
1.000000000000000000e+02,-1.674987311496158426e+00,nan
1.010000000000000000e+02,-1.923874919174348719e+00,nan
1.020000000000000000e+02,-7.529343111799492450e-01,nan
1.030000000000000000e+02,-2.074557464614413149e+00,nan
1.040000000000000000e+02,-8.265329072395817267e-01,nan
1.050000000000000000e+02,-2.058593775739312015e+00,nan
1.060000000000000000e+02,7.355449678566287064e-01,nan
1.070000000000000000e+02,2.122807940500839041e-01,nan
1.080000000000000000e+02,-1.379048851294019384e-01,nan
1.090000000000000000e+02,-3.846986319641170216e-01,nan
1.100000000000000000e+02,-1.946785874127801907e+00,nan
1.110000000000000000e+02,-3.572288112198160892e-01,nan
1.120000000000000000e+02,2.112948074255752040e+00,nan
1.130000000000000000e+02,-2.929430580552086383e+00,nan
1.140000000000000000e+02,4.667067685755722506e-01,nan
1.150000000000000000e+02,1.153827626193023370e+00,nan
1.160000000000000000e+02,2.583065334067126129e-01,nan
1.170000000000000000e+02,-1.608150871021196471e+00,nan
1.180000000000000000e+02,-8.822079386764798414e-01,nan
1.190000000000000000e+02,-2.455587508569351263e-01,nan
1.200000000000000000e+02,-7.801996760691720656e-01,nan
1.210000000000000000e+02,-1.628991790204509460e+00,nan
1.220000000000000000e+02,-1.579989073655198695e+00,nan
1.230000000000000000e+02,1.156088867559196487e+00,nan
1.240000000000000000e+02,-1.115486469769485067e+00,nan
