arena,phi,snr,scenario,mu_inf,detect_rate
ar1_phi0.5_snr0.1,0.5,0.1,level_1s,0.2773500981126146,0.29
ar1_phi0.8_snr0.1,0.8,0.1,level_1s,0.2294157338705618,0.24
ar1_phi0.95_snr0.1,0.95,0.1,level_1s,0.1428571428571428,0.13
ar1_phi0.99_snr0.1,0.99,0.1,level_1s,0.0691714463866076,0.146
ar1_phi0.5_snr0.5,0.5,0.5,level_1s,0.4472135954999581,0.654
ar1_phi0.8_snr0.5,0.8,0.5,level_1s,0.3015113445777636,0.306
ar1_phi0.95_snr0.5,0.95,0.5,level_1s,0.1561737618886061,0.112
ar1_phi0.99_snr0.5,0.99,0.5,level_1s,0.0705345615858598,0.084
ar1_phi0.5_snr2.0,0.5,2.0,level_1s,0.5345224838248489,0.83
ar1_phi0.8_snr2.0,0.8,2.0,level_1s,0.324442842261525,0.368
ar1_phi0.95_snr2.0,0.95,2.0,level_1s,0.1591114568351461,0.116
ar1_phi0.99_snr2.0,0.99,2.0,level_1s,0.0707992325404788,0.066
ar1_phi0.5_snr0.1,0.5,0.1,level_3s,0.8320502943378437,0.982
ar1_phi0.8_snr0.1,0.8,0.1,level_3s,0.6882472016116854,0.932
ar1_phi0.95_snr0.1,0.95,0.1,level_3s,0.4285714285714284,0.654
ar1_phi0.99_snr0.1,0.99,0.1,level_3s,0.2075143391598228,0.626
ar1_phi0.5_snr0.5,0.5,0.5,level_3s,1.3416407864998745,0.996
ar1_phi0.8_snr0.5,0.8,0.5,level_3s,0.9045340337332908,0.968
ar1_phi0.95_snr0.5,0.95,0.5,level_3s,0.4685212856658186,0.554
ar1_phi0.99_snr0.5,0.99,0.5,level_3s,0.2116036847575795,0.302
ar1_phi0.5_snr2.0,0.5,2.0,level_3s,1.6035674514745466,0.992
ar1_phi0.8_snr2.0,0.8,2.0,level_3s,0.973328526784575,0.974
ar1_phi0.95_snr2.0,0.95,2.0,level_3s,0.4773343705054384,0.674
ar1_phi0.99_snr2.0,0.99,2.0,level_3s,0.2123976976214366,0.358
