draw,null_minp,argmin_method
0,0.1521,raw_cusum
1,0.0198,lsc_tail_cusum
2,0.481,lsc_composite
3,0.14915,lsc_tail_cusum
4,0.2774,lsc_kalman_cusum
5,0.1521,raw_cusum
6,0.481,lsc_composite
7,0.5619,raw_var_cusum
8,0.2774,lsc_kalman_cusum
9,0.5535,lsc_tail_cusum
10,0.1492,raw_var_cusum
11,0.5535,lsc_tail_cusum
12,0.1492,raw_var_cusum
13,0.2774,lsc_kalman_cusum
14,0.5535,lsc_tail_cusum
15,0.10165,lsc_composite
16,0.10165,lsc_composite
17,0.2774,lsc_kalman_cusum
18,0.1521,raw_cusum
19,0.5535,lsc_tail_cusum
20,0.1492,raw_var_cusum
21,0.481,lsc_composite
22,0.481,lsc_composite
23,0.5535,lsc_tail_cusum
24,0.2774,lsc_kalman_cusum
25,0.5535,lsc_tail_cusum
26,0.14915,lsc_tail_cusum
27,1.0,lsc_composite
28,0.481,lsc_composite
29,0.2774,lsc_kalman_cusum
30,0.481,lsc_composite
31,0.481,lsc_composite
32,0.2774,lsc_kalman_cusum
33,0.0183,raw_var_cusum
34,0.2774,lsc_kalman_cusum
35,0.2774,lsc_kalman_cusum
36,0.14915,lsc_tail_cusum
37,0.1521,raw_cusum
38,0.10165,lsc_composite
39,0.481,lsc_composite
40,0.1521,raw_cusum
41,0.481,lsc_composite
42,0.481,lsc_composite
43,1.0,lsc_composite
44,0.2774,lsc_kalman_cusum
45,0.1492,raw_var_cusum
46,1.0,lsc_composite
47,0.1521,raw_cusum
48,0.5619,raw_var_cusum
49,0.0198,lsc_tail_cusum
50,0.5535,lsc_tail_cusum
51,0.481,lsc_composite
52,0.1521,raw_cusum
53,0.5619,raw_var_cusum
54,0.5535,lsc_tail_cusum
55,0.481,lsc_composite
56,0.1492,raw_var_cusum
57,0.10165,lsc_composite
58,0.481,lsc_composite
59,0.481,lsc_composite
60,0.5619,raw_var_cusum
61,0.481,lsc_composite
62,0.2774,lsc_kalman_cusum
63,0.5535,lsc_tail_cusum
64,0.1521,raw_cusum
65,0.14915,lsc_tail_cusum
66,0.5619,raw_var_cusum
67,0.0183,raw_var_cusum
68,0.5535,lsc_tail_cusum
69,0.5619,raw_var_cusum
70,0.10165,lsc_composite
71,0.10165,lsc_composite
72,0.481,lsc_composite
73,0.5535,lsc_tail_cusum
74,1.0,lsc_composite
75,0.10165,lsc_composite
76,0.14915,lsc_tail_cusum
77,0.0198,lsc_tail_cusum
78,0.2774,lsc_kalman_cusum
79,0.481,lsc_composite
80,0.14915,lsc_tail_cusum
81,0.1492,raw_var_cusum
82,0.2774,lsc_kalman_cusum
83,0.481,lsc_composite
84,0.14915,lsc_tail_cusum
85,0.5535,lsc_tail_cusum
86,0.481,lsc_composite
87,0.14915,lsc_tail_cusum
88,0.1492,raw_var_cusum
89,0.10165,lsc_composite
90,0.5535,lsc_tail_cusum
91,0.14915,lsc_tail_cusum
92,0.481,lsc_composite
93,0.481,lsc_composite
94,0.5619,raw_var_cusum
95,0.481,lsc_composite
96,0.5535,lsc_tail_cusum
97,0.5619,raw_var_cusum
98,0.1521,raw_cusum
99,0.1521,raw_cusum
100,0.10165,lsc_composite
101,0.00925,lsc_composite
102,0.481,lsc_composite
103,0.5535,lsc_tail_cusum
104,0.1492,raw_var_cusum
105,0.5619,raw_var_cusum
106,0.14915,lsc_tail_cusum
107,0.1521,raw_cusum
108,0.1492,raw_var_cusum
109,0.10165,lsc_composite
110,0.1492,raw_var_cusum
111,0.481,lsc_composite
112,0.1492,raw_var_cusum
113,0.2774,lsc_kalman_cusum
114,0.2774,lsc_kalman_cusum
115,0.1521,raw_cusum
116,0.2774,lsc_kalman_cusum
117,0.481,lsc_composite
118,0.10165,lsc_composite
119,0.2774,lsc_kalman_cusum
120,0.5619,raw_var_cusum
121,0.481,lsc_composite
122,0.2774,lsc_kalman_cusum
123,0.1492,raw_var_cusum
124,0.481,lsc_composite
125,0.1521,raw_cusum
126,0.5619,raw_var_cusum
127,0.1521,raw_cusum
128,0.1521,raw_cusum
129,0.5535,lsc_tail_cusum
130,0.5619,raw_var_cusum
131,0.2774,lsc_kalman_cusum
132,0.14915,lsc_tail_cusum
133,0.2774,lsc_kalman_cusum
134,0.2774,lsc_kalman_cusum
135,0.1521,raw_cusum
136,0.0198,lsc_tail_cusum
137,0.481,lsc_composite
138,0.481,lsc_composite
139,0.5535,lsc_tail_cusum
140,0.5535,lsc_tail_cusum
141,0.14915,lsc_tail_cusum
142,0.10165,lsc_composite
143,0.5619,raw_var_cusum
144,0.14915,lsc_tail_cusum
145,0.5619,raw_var_cusum
146,0.5535,lsc_tail_cusum
147,0.2774,lsc_kalman_cusum
148,0.1492,raw_var_cusum
149,0.2774,lsc_kalman_cusum
150,0.2774,lsc_kalman_cusum
151,0.1492,raw_var_cusum
152,0.10165,lsc_composite
153,0.10165,lsc_composite
154,0.2774,lsc_kalman_cusum
155,0.2774,lsc_kalman_cusum
156,0.481,lsc_composite
157,0.1492,raw_var_cusum
158,0.14915,lsc_tail_cusum
159,0.481,lsc_composite
160,0.1521,raw_cusum
161,0.10165,lsc_composite
162,0.2774,lsc_kalman_cusum
163,0.481,lsc_composite
164,0.2774,lsc_kalman_cusum
165,0.5535,lsc_tail_cusum
166,0.02015,lsc_kalman_cusum
167,0.5535,lsc_tail_cusum
168,0.481,lsc_composite
169,0.2774,lsc_kalman_cusum
170,0.14915,lsc_tail_cusum
171,0.5619,raw_var_cusum
172,0.1492,raw_var_cusum
173,0.2774,lsc_kalman_cusum
174,0.2774,lsc_kalman_cusum
175,0.14915,lsc_tail_cusum
176,0.1492,raw_var_cusum
177,0.481,lsc_composite
178,0.1492,raw_var_cusum
179,0.5619,raw_var_cusum
180,0.02015,lsc_kalman_cusum
181,0.5535,lsc_tail_cusum
182,0.5535,lsc_tail_cusum
183,0.14915,lsc_tail_cusum
184,0.5535,lsc_tail_cusum
185,1.0,lsc_composite
186,0.2774,lsc_kalman_cusum
187,0.481,lsc_composite
188,0.10165,lsc_composite
189,0.1521,raw_cusum
190,0.5535,lsc_tail_cusum
191,0.10165,lsc_composite
192,0.1521,raw_cusum
193,0.1521,raw_cusum
194,1.0,lsc_composite
195,0.14915,lsc_tail_cusum
196,0.02015,lsc_kalman_cusum
197,1.0,lsc_composite
198,0.2774,lsc_kalman_cusum
199,0.5619,raw_var_cusum
200,0.10165,lsc_composite
201,0.1492,raw_var_cusum
202,0.1492,raw_var_cusum
203,0.481,lsc_composite
204,0.481,lsc_composite
205,0.481,lsc_composite
206,0.2774,lsc_kalman_cusum
207,0.5535,lsc_tail_cusum
208,0.481,lsc_composite
209,0.02015,lsc_kalman_cusum
210,0.481,lsc_composite
211,0.2774,lsc_kalman_cusum
212,0.2774,lsc_kalman_cusum
213,0.5535,lsc_tail_cusum
214,0.0198,lsc_tail_cusum
215,0.5619,raw_var_cusum
216,0.1521,raw_cusum
217,0.5535,lsc_tail_cusum
218,0.0198,lsc_tail_cusum
219,0.1492,raw_var_cusum
220,0.1492,raw_var_cusum
221,0.2774,lsc_kalman_cusum
222,0.1521,raw_cusum
223,0.5535,lsc_tail_cusum
224,0.02015,lsc_kalman_cusum
225,0.5535,lsc_tail_cusum
226,0.1492,raw_var_cusum
227,0.481,lsc_composite
228,0.481,lsc_composite
229,0.1521,raw_cusum
230,0.02015,lsc_kalman_cusum
231,0.1521,raw_cusum
232,0.2774,lsc_kalman_cusum
233,0.14915,lsc_tail_cusum
234,0.481,lsc_composite
235,0.5619,raw_var_cusum
236,0.5535,lsc_tail_cusum
237,0.10165,lsc_composite
238,0.2774,lsc_kalman_cusum
239,0.481,lsc_composite
240,0.2774,lsc_kalman_cusum
241,0.5535,lsc_tail_cusum
242,0.1521,raw_cusum
243,0.5619,raw_var_cusum
