phi,snr,order,count,frequency
0.5,0.1,"(1, 0, 0)",315,0.63
0.5,0.1,"(1, 0, 1)",92,0.184
0.5,0.1,"(2, 0, 0)",55,0.11
0.5,0.1,"(0, 1, 1)",35,0.07
0.5,0.1,"(1, 1, 1)",3,0.006
0.5,0.5,"(1, 0, 0)",315,0.63
0.5,0.5,"(2, 0, 0)",80,0.16
0.5,0.5,"(1, 0, 1)",51,0.102
0.5,0.5,"(0, 1, 1)",48,0.096
0.5,0.5,"(1, 1, 1)",6,0.012
0.5,2.0,"(1, 0, 0)",308,0.616
0.5,2.0,"(2, 0, 0)",87,0.174
0.5,2.0,"(1, 1, 1)",46,0.092
0.5,2.0,"(1, 0, 1)",42,0.084
0.5,2.0,"(0, 1, 1)",17,0.034
0.8,0.1,"(1, 0, 0)",282,0.564
0.8,0.1,"(0, 1, 1)",77,0.154
0.8,0.1,"(1, 0, 1)",76,0.152
0.8,0.1,"(2, 0, 0)",58,0.116
0.8,0.1,"(1, 1, 1)",7,0.014
0.8,0.5,"(1, 0, 0)",142,0.284
0.8,0.5,"(1, 0, 1)",114,0.228
0.8,0.5,"(2, 0, 0)",113,0.226
0.8,0.5,"(0, 1, 1)",101,0.202
0.8,0.5,"(1, 1, 1)",30,0.06
0.8,2.0,"(2, 0, 0)",140,0.28
0.8,2.0,"(1, 0, 1)",118,0.236
0.8,2.0,"(1, 0, 0)",91,0.182
0.8,2.0,"(1, 1, 1)",86,0.172
0.8,2.0,"(0, 1, 1)",65,0.13
0.95,0.1,"(1, 0, 0)",215,0.43
0.95,0.1,"(0, 1, 1)",169,0.338
0.95,0.1,"(1, 0, 1)",60,0.12
0.95,0.1,"(2, 0, 0)",41,0.082
0.95,0.1,"(1, 1, 1)",15,0.03
0.95,0.5,"(0, 1, 1)",324,0.648
0.95,0.5,"(1, 1, 1)",56,0.112
0.95,0.5,"(1, 0, 1)",47,0.094
0.95,0.5,"(1, 0, 0)",44,0.088
0.95,0.5,"(2, 0, 0)",29,0.058
0.95,2.0,"(0, 1, 1)",343,0.686
0.95,2.0,"(1, 1, 1)",81,0.162
0.95,2.0,"(1, 0, 1)",39,0.078
0.95,2.0,"(2, 0, 0)",28,0.056
0.95,2.0,"(1, 0, 0)",9,0.018
0.99,0.1,"(1, 0, 0)",250,0.5
0.99,0.1,"(0, 1, 1)",122,0.244
0.99,0.1,"(1, 0, 1)",65,0.13
0.99,0.1,"(2, 0, 0)",47,0.094
0.99,0.1,"(1, 1, 1)",16,0.032
0.99,0.5,"(0, 1, 1)",287,0.574
0.99,0.5,"(1, 0, 0)",116,0.232
0.99,0.5,"(1, 1, 1)",39,0.078
0.99,0.5,"(1, 0, 1)",33,0.066
0.99,0.5,"(2, 0, 0)",25,0.05
0.99,2.0,"(0, 1, 1)",364,0.728
0.99,2.0,"(1, 1, 1)",68,0.136
0.99,2.0,"(1, 0, 0)",26,0.052
0.99,2.0,"(1, 0, 1)",24,0.048
0.99,2.0,"(2, 0, 0)",18,0.036
