arena,phi,scenario,n_reps,detect_raw,detect_arima,published_detect_raw,published_detect_arima,reproduced_exactly,delta,se_delta_paired,se_delta_independence_actual,se_delta_independence_worst_case
ar1_phi0.1,0.1,qvar_x1.5,500,0.052,0.052,0.052,0.052,True,0.0,0.013870283686323006,0.014042222046385677,0.03162277660168379
ar1_phi0.1,0.1,qvar_x3,500,0.402,0.058,0.402,0.058,True,0.34400000000000003,0.0244237802578587,0.024291232986408902,0.03162277660168379
ar1_phi0.5,0.5,qvar_x1.5,500,0.062,0.046,0.062,0.046,True,0.016,0.014138167333537335,0.014285657142742856,0.03162277660168379
ar1_phi0.5,0.5,qvar_x3,500,0.598,0.072,0.598,0.072,True,0.526,0.024079194654939375,0.024787577533918075,0.03162277660168379
ar1_phi0.7,0.7,qvar_x1.5,500,0.082,0.044,0.082,0.044,True,0.038000000000000006,0.014475187809636476,0.01531926891205974,0.03162277660168379
ar1_phi0.7,0.7,qvar_x3,500,0.846,0.318,0.846,0.318,True,0.528,0.02287966253937832,0.026349952561627126,0.03162277660168379
ar1_phi0.85,0.85,qvar_x1.5,500,0.152,0.048,0.152,0.048,True,0.104,0.015324414355880014,0.018686465690440232,0.03162277660168379
ar1_phi0.85,0.85,qvar_x3,500,0.972,0.768,0.972,0.768,True,0.20399999999999996,0.01803936910413861,0.020267806985463425,0.03162277660168379
ar1_phi0.95,0.95,qvar_x1.5,500,0.212,0.1,0.212,0.1,True,0.11199999999999999,0.018098815825034996,0.02267403801708024,0.03162277660168379
ar1_phi0.95,0.95,qvar_x3,500,0.962,0.794,0.962,0.794,True,0.16799999999999993,0.01811652330977628,0.0200059991002699,0.03162277660168379
ar1_phi0.99,0.99,qvar_x1.5,500,0.136,0.062,0.136,0.062,True,0.07400000000000001,0.017483115244065473,0.018743532217807828,0.03162277660168379
ar1_phi0.99,0.99,qvar_x3,500,0.58,0.278,0.58,0.278,True,0.30199999999999994,0.02527587267492376,0.029809931231051173,0.03162277660168379
