channel,snr,vol_mult,n_reps,threshold_composite_arima,empirical_far_composite_arima,detect_raw,detect_arima_cusum,detect_composite_kalman,detect_composite_arima
q,0.1,1.5,500,45.48662022415511,0.038,0.094,0.032,0.064,0.044
q,0.5,1.5,500,35.99959582487306,0.066,0.212,0.1,0.106,0.104
q,2.0,1.5,500,33.29216883792632,0.042,0.23,0.158,0.234,0.096
q,0.1,3.0,500,45.48662022415511,0.038,0.724,0.262,0.438,0.248
q,0.5,3.0,500,35.99959582487306,0.066,0.962,0.794,0.76,0.38
q,2.0,3.0,500,33.29216883792632,0.042,0.96,0.996,0.976,0.964
r,0.1,1.5,500,45.48662022415511,0.038,0.996,0.9,0.818,0.226
r,0.5,1.5,500,35.99959582487306,0.066,0.56,0.942,0.868,0.416
r,2.0,1.5,500,33.29216883792632,0.042,0.102,0.868,0.91,0.632
r,0.1,3.0,500,45.48662022415511,0.038,1.0,0.98,0.99,0.978
r,0.5,3.0,500,35.99959582487306,0.066,0.998,0.998,0.992,0.99
r,2.0,3.0,500,33.29216883792632,0.042,0.852,0.998,0.976,0.984
