model,rep,alarmed,hit,alarm_time,attrib_time,attrib_feature
kalman,0,True,True,321.0,321,variance_pressure
arima,0,True,True,334.0,334,break_pressure
kalman,1,True,True,443.0,443,variance_pressure
arima,1,True,True,399.0,399,variance_pressure
kalman,2,True,True,354.0,354,variance_pressure
arima,2,False,False,,456,variance_pressure
kalman,3,True,True,351.0,351,variance_pressure
arima,3,False,False,,400,variance_pressure
kalman,4,True,True,447.0,447,variance_pressure
arima,4,False,False,,460,variance_pressure
kalman,5,False,False,,451,variance_pressure
arima,5,False,False,,460,variance_pressure
kalman,6,True,True,348.0,348,variance_pressure
arima,6,False,False,,456,variance_pressure
kalman,7,True,True,451.0,451,variance_pressure
arima,7,False,False,,460,variance_pressure
kalman,8,True,True,351.0,351,variance_pressure
arima,8,False,False,,456,variance_pressure
kalman,9,True,True,451.0,451,variance_pressure
arima,9,False,False,,456,variance_pressure
kalman,10,False,False,,451,variance_pressure
arima,10,False,False,,460,variance_pressure
kalman,11,True,True,395.0,395,variance_pressure
arima,11,False,False,,456,variance_pressure
kalman,12,True,True,441.0,441,variance_pressure
arima,12,True,True,489.0,489,variance_pressure
kalman,13,True,True,351.0,351,variance_pressure
arima,13,False,False,,460,variance_pressure
kalman,14,True,True,451.0,451,variance_pressure
arima,14,False,False,,456,variance_pressure
kalman,15,True,True,349.0,349,variance_pressure
arima,15,False,False,,460,variance_pressure
kalman,16,True,True,448.0,448,variance_pressure
arima,16,False,False,,460,variance_pressure
kalman,17,True,True,349.0,349,variance_pressure
arima,17,True,True,453.0,453,variance_pressure
kalman,18,True,True,443.0,443,variance_pressure
arima,18,True,True,454.0,454,variance_pressure
kalman,19,True,True,448.0,448,variance_pressure
arima,19,False,False,,456,variance_pressure
kalman,20,True,True,443.0,443,variance_pressure
arima,20,False,False,,456,variance_pressure
kalman,21,True,True,351.0,351,variance_pressure
arima,21,True,True,394.0,394,variance_pressure
kalman,22,True,True,451.0,451,variance_pressure
arima,22,False,False,,456,variance_pressure
kalman,23,True,True,351.0,351,variance_pressure
arima,23,True,True,454.0,454,variance_pressure
kalman,24,True,True,451.0,451,variance_pressure
arima,24,False,False,,460,variance_pressure
kalman,25,True,True,450.0,450,variance_pressure
arima,25,False,False,,460,variance_pressure
kalman,26,True,True,349.0,349,variance_pressure
arima,26,False,False,,456,variance_pressure
kalman,27,True,True,322.0,322,variance_pressure
arima,27,False,False,,456,variance_pressure
kalman,28,False,False,,451,variance_pressure
arima,28,False,False,,456,variance_pressure
kalman,29,True,True,395.0,395,variance_pressure
arima,29,True,True,456.0,456,variance_pressure
kalman,30,True,True,441.0,441,variance_pressure
arima,30,False,False,,460,variance_pressure
kalman,31,True,True,387.0,387,variance_pressure
arima,31,True,True,455.0,455,variance_pressure
kalman,32,True,True,345.0,345,variance_pressure
arima,32,False,False,,460,variance_pressure
kalman,33,True,True,443.0,443,variance_pressure
arima,33,False,False,,460,variance_pressure
kalman,34,True,True,319.0,319,variance_pressure
arima,34,True,True,334.0,334,variance_pressure
kalman,35,True,True,395.0,395,variance_pressure
arima,35,True,True,460.0,460,variance_pressure
kalman,36,True,True,447.0,447,variance_pressure
arima,36,False,False,,495,state_shift_pressure
kalman,37,False,False,,451,variance_pressure
arima,37,False,False,,456,variance_pressure
kalman,38,True,True,447.0,447,variance_pressure
arima,38,False,False,,456,variance_pressure
kalman,39,True,True,443.0,443,variance_pressure
arima,39,True,False,228.0,228,break_pressure
kalman,40,True,True,451.0,451,variance_pressure
arima,40,False,False,,456,variance_pressure
kalman,41,True,True,351.0,351,variance_pressure
arima,41,False,False,,495,state_shift_pressure
kalman,42,True,True,399.0,399,variance_pressure
arima,42,False,False,,489,variance_pressure
kalman,43,True,True,450.0,450,variance_pressure
arima,43,False,False,,456,variance_pressure
kalman,44,True,True,351.0,351,variance_pressure
arima,44,True,True,456.0,456,variance_pressure
kalman,45,True,True,348.0,348,variance_pressure
arima,45,True,True,455.0,455,variance_pressure
kalman,46,False,False,,451,variance_pressure
arima,46,False,False,,456,variance_pressure
kalman,47,True,True,345.0,345,variance_pressure
arima,47,True,True,399.0,399,variance_pressure
kalman,48,True,True,387.0,387,variance_pressure
arima,48,False,False,,460,variance_pressure
kalman,49,True,True,400.0,400,variance_pressure
arima,49,False,False,,456,variance_pressure
kalman,50,True,True,395.0,395,variance_pressure
arima,50,False,False,,456,variance_pressure
kalman,51,False,False,,451,variance_pressure
arima,51,False,False,,472,acceleration
kalman,52,True,True,449.0,449,variance_pressure
arima,52,False,False,,460,variance_pressure
kalman,53,True,True,441.0,441,variance_pressure
arima,53,True,True,456.0,456,variance_pressure
kalman,54,True,True,447.0,447,variance_pressure
arima,54,False,False,,460,variance_pressure
kalman,55,True,True,387.0,387,variance_pressure
arima,55,False,False,,456,variance_pressure
kalman,56,True,True,351.0,351,variance_pressure
arima,56,False,False,,456,variance_pressure
kalman,57,True,True,351.0,351,variance_pressure
arima,57,True,True,455.0,455,variance_pressure
kalman,58,True,True,440.0,440,variance_pressure
arima,58,False,False,,460,variance_pressure
kalman,59,True,True,315.0,315,break_pressure
arima,59,True,False,174.0,174,break_pressure
kalman,60,True,True,320.0,320,variance_pressure
arima,60,True,True,399.0,399,variance_pressure
kalman,61,True,True,441.0,441,variance_pressure
arima,61,False,False,,456,variance_pressure
kalman,62,True,True,448.0,448,variance_pressure
arima,62,False,False,,460,variance_pressure
kalman,63,True,True,490.0,490,variance_pressure
arima,63,True,True,460.0,460,variance_pressure
kalman,64,True,True,400.0,400,variance_pressure
arima,64,False,False,,456,variance_pressure
kalman,65,True,False,226.0,226,state_shift_pressure
arima,65,True,True,457.0,457,state_shift_pressure
kalman,66,True,True,395.0,395,variance_pressure
arima,66,False,False,,456,variance_pressure
kalman,67,True,True,443.0,443,variance_pressure
arima,67,False,False,,460,variance_pressure
kalman,68,True,True,445.0,445,variance_pressure
arima,68,False,False,,460,variance_pressure
kalman,69,True,True,447.0,447,variance_pressure
arima,69,False,False,,460,variance_pressure
kalman,70,True,True,448.0,448,variance_pressure
arima,70,False,False,,460,variance_pressure
kalman,71,True,True,443.0,443,variance_pressure
arima,71,False,False,,460,variance_pressure
kalman,72,False,False,,451,variance_pressure
arima,72,False,False,,469,variance_pressure
kalman,73,True,True,447.0,447,variance_pressure
arima,73,False,False,,490,variance_pressure
kalman,74,True,True,447.0,447,variance_pressure
arima,74,False,False,,460,variance_pressure
kalman,75,False,False,,451,variance_pressure
arima,75,False,False,,456,variance_pressure
kalman,76,True,True,443.0,443,variance_pressure
arima,76,False,False,,456,variance_pressure
kalman,77,True,False,205.0,205,break_pressure
arima,77,False,False,,489,variance_pressure
kalman,78,True,True,395.0,395,variance_pressure
arima,78,False,False,,456,variance_pressure
kalman,79,True,True,451.0,451,variance_pressure
arima,79,False,False,,490,variance_pressure
kalman,80,True,True,462.0,462,break_pressure
arima,80,False,False,,477,break_pressure
kalman,81,True,True,433.0,433,variance_pressure
arima,81,False,False,,456,variance_pressure
kalman,82,True,True,451.0,451,variance_pressure
arima,82,False,False,,460,variance_pressure
kalman,83,True,True,451.0,451,variance_pressure
arima,83,False,False,,456,variance_pressure
kalman,84,True,True,447.0,447,variance_pressure
arima,84,False,False,,456,variance_pressure
kalman,85,True,True,351.0,351,variance_pressure
arima,85,False,False,,456,variance_pressure
kalman,86,False,False,,451,variance_pressure
arima,86,False,False,,400,variance_pressure
kalman,87,True,True,349.0,349,variance_pressure
arima,87,False,False,,456,variance_pressure
kalman,88,True,True,420.0,420,variance_pressure
arima,88,False,False,,460,variance_pressure
kalman,89,True,True,351.0,351,variance_pressure
arima,89,False,False,,460,variance_pressure
kalman,90,True,True,399.0,399,variance_pressure
arima,90,True,True,300.0,300,break_pressure
kalman,91,False,False,,494,variance_pressure
arima,91,False,False,,460,variance_pressure
kalman,92,True,True,398.0,398,variance_pressure
arima,92,True,True,456.0,456,variance_pressure
kalman,93,False,False,,451,variance_pressure
arima,93,False,False,,456,variance_pressure
kalman,94,True,True,349.0,349,variance_pressure
arima,94,True,True,456.0,456,variance_pressure
kalman,95,True,True,448.0,448,variance_pressure
arima,95,False,False,,456,variance_pressure
kalman,96,True,True,448.0,448,variance_pressure
arima,96,False,False,,460,variance_pressure
kalman,97,False,False,,460,variance_pressure
arima,97,False,False,,495,state_shift_pressure
kalman,98,True,True,448.0,448,variance_pressure
arima,98,False,False,,460,variance_pressure
kalman,99,True,True,330.0,330,variance_pressure
arima,99,False,False,,456,variance_pressure
kalman,100,True,True,451.0,451,variance_pressure
arima,100,False,False,,456,variance_pressure
kalman,101,True,True,351.0,351,variance_pressure
arima,101,False,False,,460,variance_pressure
kalman,102,True,True,441.0,441,variance_pressure
arima,102,False,False,,460,variance_pressure
kalman,103,False,False,,497,variance_pressure
arima,103,False,False,,490,variance_pressure
kalman,104,True,True,443.0,443,variance_pressure
arima,104,False,False,,489,variance_pressure
kalman,105,True,True,326.0,326,variance_pressure
arima,105,True,True,456.0,456,variance_pressure
kalman,106,True,True,451.0,451,variance_pressure
arima,106,False,False,,400,variance_pressure
kalman,107,True,True,395.0,395,variance_pressure
arima,107,False,False,,460,variance_pressure
kalman,108,False,False,,451,variance_pressure
arima,108,False,False,,490,variance_pressure
kalman,109,True,True,490.0,490,variance_pressure
arima,109,False,False,,489,variance_pressure
kalman,110,False,False,,451,variance_pressure
arima,110,False,False,,400,variance_pressure
kalman,111,True,True,443.0,443,variance_pressure
arima,111,False,False,,460,variance_pressure
kalman,112,True,True,451.0,451,variance_pressure
arima,112,False,False,,456,variance_pressure
kalman,113,False,False,,460,variance_pressure
arima,113,False,False,,460,variance_pressure
kalman,114,True,True,447.0,447,variance_pressure
arima,114,False,False,,456,variance_pressure
kalman,115,True,True,351.0,351,variance_pressure
arima,115,True,True,456.0,456,variance_pressure
kalman,116,True,True,395.0,395,variance_pressure
arima,116,False,False,,456,variance_pressure
kalman,117,True,True,348.0,348,variance_pressure
arima,117,False,False,,456,variance_pressure
kalman,118,True,True,322.0,322,variance_pressure
arima,118,False,False,,460,variance_pressure
kalman,119,True,True,443.0,443,variance_pressure
arima,119,False,False,,460,variance_pressure
kalman,120,True,True,447.0,447,variance_pressure
arima,120,False,False,,489,variance_pressure
kalman,121,True,True,451.0,451,variance_pressure
arima,121,False,False,,460,variance_pressure
kalman,122,True,True,405.0,405,state_shift_pressure
arima,122,False,False,,456,variance_pressure
kalman,123,True,True,395.0,395,variance_pressure
arima,123,True,True,456.0,456,variance_pressure
kalman,124,False,False,,497,variance_pressure
arima,124,False,False,,460,variance_pressure
kalman,125,True,True,400.0,400,variance_pressure
arima,125,False,False,,456,variance_pressure
kalman,126,True,True,351.0,351,variance_pressure
arima,126,False,False,,456,variance_pressure
kalman,127,True,True,443.0,443,variance_pressure
arima,127,False,False,,489,variance_pressure
kalman,128,True,True,399.0,399,variance_pressure
arima,128,False,False,,456,variance_pressure
kalman,129,True,True,351.0,351,variance_pressure
arima,129,True,True,456.0,456,variance_pressure
kalman,130,True,True,443.0,443,variance_pressure
arima,130,False,False,,460,variance_pressure
kalman,131,True,True,349.0,349,variance_pressure
arima,131,True,True,456.0,456,variance_pressure
kalman,132,True,True,441.0,441,variance_pressure
arima,132,False,False,,456,variance_pressure
kalman,133,False,False,,483,state_shift_pressure
arima,133,False,False,,479,state_shift_pressure
kalman,134,True,True,441.0,441,variance_pressure
arima,134,False,False,,460,variance_pressure
kalman,135,True,True,387.0,387,variance_pressure
