channel,snr,vol_mult,n_reps,threshold_garch,tautological_far_garch,fresh_far_raw,fresh_far_arima,fresh_far_garch
q,0.1,1.5,500,248.40352501765994,0.05,0.06,0.044,0.054
q,0.5,1.5,500,473.83348991209084,0.05,0.066,0.06,0.05
q,2.0,1.5,500,242.88968853122103,0.05,0.06,0.042,0.048
q,0.1,3.0,500,248.40352501765994,0.05,0.06,0.044,0.054
q,0.5,3.0,500,473.83348991209084,0.05,0.066,0.06,0.05
q,2.0,3.0,500,242.88968853122103,0.05,0.06,0.042,0.048
r,0.1,1.5,500,248.40352501765994,0.05,0.06,0.044,0.054
r,0.5,1.5,500,473.83348991209084,0.05,0.066,0.06,0.05
r,2.0,1.5,500,242.88968853122103,0.05,0.06,0.042,0.048
r,0.1,3.0,500,248.40352501765994,0.05,0.06,0.044,0.054
r,0.5,3.0,500,473.83348991209084,0.05,0.066,0.06,0.05
r,2.0,3.0,500,242.88968853122103,0.05,0.06,0.042,0.048
