arena,scenario,localize_rate,localize_rate_se,n,window
ar1_snr0.1,variance_x1.5,0.74,0.01963596552972553,500,25
ar1_snr0.1,variance_x3,1.0,0.0,500,25
ar1_snr0.1,qvar_x1.5,0.024,0.00685141472745119,500,25
ar1_snr0.1,qvar_x3,0.296,0.020435342091896225,500,25
ar1_snr0.5,variance_x1.5,0.056,0.01029271002989587,500,25
ar1_snr0.5,variance_x3,0.98,0.006267260734501832,500,25
ar1_snr0.5,qvar_x1.5,0.02,0.006267260734501832,500,25
ar1_snr0.5,qvar_x3,0.424,0.022122993778135334,500,25
ar1_snr2.0,variance_x1.5,0.0,0.0,500,25
ar1_snr2.0,variance_x3,0.044,0.009181317617116443,500,25
ar1_snr2.0,qvar_x1.5,0.0,0.0,500,25
ar1_snr2.0,qvar_x3,0.342,0.021236147199899313,500,25
