channel,snr,vol_mult,n_reps,threshold_known_raw,threshold_known_kalman,empirical_far_known_raw,empirical_far_known_kalman,detect_est_raw,detect_known_raw,gap_raw,detect_est_arima,detect_known_kalman,gap_kalman
q,0.1,1.5,500,60.84943939498413,58.17603379857322,0.05,0.05,0.094,0.198,0.10400000000000001,0.032,0.084,0.052000000000000005
q,0.5,1.5,500,111.96045963106855,56.97055913095164,0.05,0.05,0.212,0.446,0.234,0.1,0.266,0.166
q,2.0,1.5,500,202.74349922509887,56.342792831665726,0.05,0.05,0.23,0.498,0.268,0.158,0.722,0.564
q,0.1,3.0,500,60.84943939498413,58.17603379857322,0.05,0.05,0.724,0.95,0.22599999999999998,0.262,0.816,0.5539999999999999
q,0.5,3.0,500,111.96045963106855,56.97055913095164,0.05,0.05,0.962,0.98,0.018000000000000016,0.794,0.984,0.18999999999999995
q,2.0,3.0,500,202.74349922509887,56.342792831665726,0.05,0.05,0.96,0.976,0.016000000000000014,0.996,0.984,-0.01200000000000001
r,0.1,1.5,500,60.84943939498413,58.17603379857322,0.05,0.05,0.996,0.988,-0.008000000000000007,0.9,0.986,0.08599999999999997
r,0.5,1.5,500,111.96045963106855,56.97055913095164,0.05,0.05,0.56,0.964,0.4039999999999999,0.942,0.984,0.04200000000000004
r,2.0,1.5,500,202.74349922509887,56.342792831665726,0.05,0.05,0.102,0.168,0.06600000000000002,0.868,0.984,0.11599999999999999
r,0.1,3.0,500,60.84943939498413,58.17603379857322,0.05,0.05,1.0,0.988,-0.01200000000000001,0.98,0.986,0.006000000000000005
r,0.5,3.0,500,111.96045963106855,56.97055913095164,0.05,0.05,0.998,0.98,-0.018000000000000016,0.998,0.984,-0.014000000000000012
r,2.0,3.0,500,202.74349922509887,56.342792831665726,0.05,0.05,0.852,0.976,0.124,0.998,0.984,-0.014000000000000012
