channel,snr,vol_mult,n_reps,n_points,spearman_garch,auc_garch,spearman_raw,auc_raw,spearman_arima,auc_arima
q,0.1,1.5,500,187500,0.03602870380672501,0.522062972032,0.026468635907515647,0.51620866304,0.022255139398475413,0.51362843392
q,0.5,1.5,500,187500,0.10383063451331966,0.563582993024,0.08482638757199619,0.551945341568,0.042112860476916925,0.525788754944
q,2.0,1.5,500,187500,0.19020417980244753,0.616475791872,0.14134922952709494,0.586558371968,0.07052778908237665,0.543189273984
q,0.1,3.0,500,187500,0.08677560793753764,0.553138959488,0.13329977951148583,0.581629110656,0.10350346515006721,0.563382669056
q,0.5,3.0,500,187500,0.2771906110344366,0.669743823936,0.29859703048658354,0.682852590848,0.18322454232955332,0.612201659264
q,2.0,3.0,500,187500,0.49307969923138323,0.801948404096,0.3946865520046093,0.741695165184,0.264958422529177,0.66225323456
r,0.1,1.5,500,187500,0.12590411783185165,0.577100167488,0.18877419700691792,0.615600114816,0.19425501827908084,0.618956418688
r,0.5,1.5,500,187500,0.20823647298722373,0.627518225536,0.1490739832297864,0.591288798208,0.18303403781759056,0.612084999552
r,2.0,1.5,500,187500,0.17975431227108138,0.610076581376,0.0870239973427398,0.553291097216,0.16811490380766522,0.60294893312
r,0.1,3.0,500,187500,0.23856398786682506,0.646089934144,0.4638937766708351,0.78407576192,0.46758351515729196,0.786335256064
r,0.5,3.0,500,187500,0.4100494320208631,0.75110287584,0.4126774808674323,0.752712314112,0.45663555798401095,0.779631028864
r,2.0,3.0,500,187500,0.5252196622871245,0.821630030848,0.29688547828253303,0.681804483456,0.4387799632335195,0.768696754816
