channel,snr,vol_mult,n_reps,mean_post_break_z2_single,mean_post_break_z2_oracle,z2_elevation_single,z2_elevation_oracle,cross_rate_single_at_garch_threshold,cross_rate_oracle_at_garch_threshold,published_detect_garch
q,0.1,1.5,500,1.1556182577632357,1.0556016125158818,0.15561825776323568,0.055601612515881804,0.08,0.058,0.038
q,0.5,1.5,500,1.3873971739227895,0.9972753982205728,0.3873971739227895,-0.002724601779427238,0.038,0.002,0.066
q,2.0,1.5,500,1.3904608344006228,0.9521191778644227,0.39046083440062285,-0.04788082213557732,0.096,0.012,0.098
q,0.1,3.0,500,1.6965764182173375,0.9988945776096684,0.6965764182173375,-0.001105422390331623,0.22,0.034,0.186
q,0.5,3.0,500,2.7390172454797863,0.9520715841506617,1.7390172454797863,-0.04792841584933827,0.31,0.002,0.344
q,2.0,3.0,500,2.2694224014788413,0.8573500434606907,1.2694224014788413,-0.14264995653930934,0.318,0.012,0.338
r,0.1,1.5,500,2.1350154772721397,1.04352883987215,1.1350154772721397,0.04352883987215006,0.552,0.056,0.498
r,0.5,1.5,500,1.7863328927868953,1.061557698174814,0.7863328927868953,0.061557698174814046,0.056,0.002,0.098
r,2.0,1.5,500,1.4239139311791895,1.014358634964787,0.4239139311791895,0.014358634964787065,0.094,0.02,0.096
r,0.1,3.0,500,7.39212580634006,1.0238470263631005,6.39212580634006,0.023847026363100543,0.998,0.046,0.962
r,0.5,3.0,500,4.769151323342912,1.0430273994956543,3.7691513233429124,0.04302739949565426,0.674,0.002,0.708
r,2.0,3.0,500,2.471966791401028,1.0538901585684874,1.471966791401028,0.053890158568487445,0.544,0.04,0.548
