config,arena,scenario,n_reps,detect_raw,detect_arima,delta,published_raw,published_arima,reproduced_raw,reproduced_arima,se_paired,se_independence,tightens_under_pairing,table
grid_v4_varbench_core.yaml,ar1_snr0.1,variance_x1.5,500,0.996,0.9,0.09599999999999997,0.996,0.9,True,True,0.01318771517979239,0.013710142231209711,True,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_snr0.1,variance_x3,500,1.0,0.98,0.020000000000000018,1.0,0.98,True,True,0.006267260734501832,0.006260990336999414,False,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_snr0.5,variance_x1.5,500,0.56,0.942,-0.3819999999999999,0.56,0.942,True,True,0.021934316229527507,0.024537155499364634,True,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_snr0.5,variance_x3,500,0.998,0.998,0.0,0.998,0.998,True,True,0.0028312598015950876,0.002825597281991899,False,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_snr2.0,variance_x1.5,500,0.102,0.868,-0.766,0.102,0.868,True,True,0.01957688711256302,0.020306255193905155,True,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_snr2.0,variance_x3,500,0.852,0.998,-0.14600000000000002,0.852,0.998,True,True,0.016058759838015826,0.016005748967168016,False,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_t5,variance_x1.5,500,0.428,0.74,-0.312,0.428,0.74,True,True,0.02149968541504484,0.029570796404561037,True,Table 3 (r)
grid_v4_varbench_core.yaml,ar1_t5,variance_x3,500,1.0,1.0,0.0,1.0,1.0,True,True,0.0,0.0,False,Table 3 (r)
grid_v5_qbreak.yaml,ar1_snr0.1,qvar_x1.5,500,0.094,0.032,0.062,0.094,0.032,True,True,0.013441478590296034,0.015240734890417851,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_snr0.1,qvar_x3,500,0.724,0.262,0.46199999999999997,0.724,0.262,True,True,0.02337101642671185,0.02804211119013688,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_snr0.5,qvar_x1.5,500,0.212,0.1,0.11199999999999999,0.212,0.1,True,True,0.018098815825034996,0.02267403801708024,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_snr0.5,qvar_x3,500,0.962,0.794,0.16799999999999993,0.962,0.794,True,True,0.01811652330977628,0.0200059991002699,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_snr2.0,qvar_x1.5,500,0.23,0.158,0.07200000000000001,0.23,0.158,True,True,0.01975886701335131,0.024905260488499212,True,Table 3 (q)
grid_v5_qbreak.yaml,ar1_snr2.0,qvar_x3,500,0.96,0.996,-0.03600000000000003,0.96,0.996,True,True,0.009250900405724473,0.009206953893661034,False,Table 3 (q)
