channel,snr,vol_mult,n_reps,threshold_exceedance,empirical_far_exceedance,detect_garch_cusum,detect_garch_exceedance,auc_garch_mechanism
q,0.1,1.5,500,327.26739130434726,0.058,0.038,0.058,0.522062972032
q,0.5,1.5,500,327.26739130434726,0.068,0.066,0.052,0.563582993024
q,2.0,1.5,500,91.62913043478292,0.05,0.098,0.12,0.616475791872
q,0.1,3.0,500,327.26739130434726,0.058,0.186,0.056,0.553138959488
q,0.5,3.0,500,327.26739130434726,0.068,0.344,0.05,0.669743823936
q,2.0,3.0,500,91.62913043478292,0.05,0.338,0.746,0.801948404096
r,0.1,1.5,500,327.26739130434726,0.058,0.498,0.056,0.577100167488
r,0.5,1.5,500,327.26739130434726,0.068,0.098,0.05,0.627518225536
r,2.0,1.5,500,91.62913043478292,0.05,0.096,0.088,0.610076581376
r,0.1,3.0,500,327.26739130434726,0.058,0.962,0.056,0.646089934144
r,0.5,3.0,500,327.26739130434726,0.068,0.708,0.05,0.75110287584
r,2.0,3.0,500,91.62913043478292,0.05,0.548,0.688,0.821630030848
