channel,snr,vol_mult,n_reps,detect_known_raw,detect_est_raw,gap_raw,reproduced_known_raw,reproduced_est_raw,se_paired_raw,se_independence_raw,tightens_under_pairing_raw,detect_known_kalman,detect_est_arima,gap_kalman,reproduced_known_kalman,reproduced_est_arima,se_paired_kalman,se_independence_kalman,tightens_under_pairing_kalman
q,0.1,1.5,500,0.198,0.094,0.10400000000000001,True,True,0.019675931606130837,0.02208891124523796,True,0.084,0.032,0.052000000000000005,True,True,0.014799664189441614,0.014691494137765567,False
q,0.5,1.5,500,0.446,0.212,0.234,True,True,0.022968306123272234,0.028779854064953144,True,0.266,0.1,0.166,True,True,0.02222331549303582,0.023884890621478676,True
q,2.0,1.5,500,0.498,0.23,0.268,True,True,0.022480274140919673,0.0292265632601577,True,0.722,0.158,0.564,True,True,0.023936455623496795,0.025836098776711627,True
q,0.1,3.0,500,0.95,0.724,0.22599999999999998,True,True,0.019966103540279518,0.0222406834427362,True,0.816,0.262,0.5539999999999999,True,True,0.023479151200206626,0.026210684844162314,True
q,0.5,3.0,500,0.98,0.962,0.018000000000000016,True,True,0.010371457673275105,0.01059773560719459,True,0.984,0.794,0.18999999999999995,True,True,0.018452126216884808,0.01893715923785825,True
q,2.0,3.0,500,0.976,0.96,0.016000000000000014,True,True,0.011302366432475452,0.011119712226492199,False,0.984,0.996,-0.01200000000000001,True,True,0.005636980672505841,0.006281401117585155,True
r,0.1,1.5,500,0.988,0.996,-0.008000000000000007,True,True,0.005651183216237725,0.005628498911788117,False,0.986,0.9,0.08599999999999997,True,True,0.013174031661584878,0.014408608537953968,True
r,0.5,1.5,500,0.964,0.56,0.4039999999999999,True,True,0.023035391433987702,0.023710925751644536,True,0.984,0.942,0.04200000000000004,True,True,0.010615902919185873,0.011864231959971118,True
r,2.0,1.5,500,0.168,0.102,0.06600000000000002,True,True,0.018438219433333132,0.02151148530436706,True,0.984,0.868,0.11599999999999999,True,True,0.014883919582027057,0.016144348856488452,True
r,0.1,3.0,500,0.988,1.0,-0.01200000000000001,True,True,0.004874373707264981,0.004869496893930627,False,0.986,0.98,0.006000000000000005,True,True,0.008250098681622724,0.008173616090813176,False
r,0.5,3.0,500,0.98,0.998,-0.018000000000000016,True,True,0.005951709476392708,0.006572062081264908,True,0.984,0.998,-0.014000000000000012,True,True,0.005973220129664975,0.005956509044734175,False
r,2.0,3.0,500,0.976,0.852,0.124,True,True,0.017258148434138275,0.017292773056973833,True,0.984,0.998,-0.014000000000000012,True,True,0.005973220129664975,0.005956509044734175,False
