channel,vol_mult,snr,n_reps,detect_est_kalman,detect_arima,detect_raw,delta_kalman_arima,se_paired,outcome_corr,threshold_est_kalman,threshold_arima,far_fresh_est_kalman,far_fresh_arima,far_fresh_raw,reproduced_raw,reproduced_arima
q,1.5,0.1,500,0.052,0.032,0.094,0.019999999999999997,0.011289592987333034,0.21332374417995617,120.52986773733024,207.30832089493356,0.048,0.044,0.06,True,True
q,1.5,0.5,500,0.112,0.1,0.212,0.011999999999999997,0.01095225564929961,0.6849174907329852,139.57085912662623,173.074957693661,0.048,0.06,0.066,True,True
q,1.5,2.0,500,0.258,0.158,0.23,0.1,0.016629885935039508,0.5842345526754531,134.20810516649405,170.23245832000399,0.044,0.042,0.06,True,True
q,3.0,0.1,500,0.524,0.262,0.724,0.262,0.021809707165693595,0.46770632103824095,120.52986773733024,207.30832089493356,0.048,0.044,0.06,True,True
q,3.0,0.5,500,0.894,0.794,0.962,0.09999999999999998,0.01457480187513363,0.6117643861388478,139.57085912662623,173.074957693661,0.048,0.06,0.066,True,True
q,3.0,2.0,500,0.998,0.996,0.96,0.0020000000000000018,0.002,0.706397902029716,134.20810516649405,170.23245832000399,0.044,0.042,0.06,True,True
r,1.5,0.1,500,0.998,0.9,0.996,0.09799999999999998,0.013309631572104852,0.13429844431075347,120.52986773733024,207.30832089493356,0.048,0.044,0.06,True,True
r,1.5,0.5,500,0.986,0.942,0.56,0.04400000000000004,0.009181317617116443,0.4802164301878272,139.57085912662623,173.074957693661,0.048,0.06,0.066,True,True
r,1.5,2.0,500,0.944,0.868,0.102,0.07599999999999996,0.01186294478271882,0.6245697029284462,134.20810516649405,170.23245832000399,0.044,0.042,0.06,True,True
r,3.0,0.1,500,1.0,0.98,1.0,0.020000000000000018,0.006267260734501832,,120.52986773733024,207.30832089493356,0.048,0.044,0.06,True,True
r,3.0,0.5,500,1.0,0.998,0.998,0.0020000000000000018,0.002,,139.57085912662623,173.074957693661,0.048,0.06,0.066,True,True
r,3.0,2.0,500,0.998,0.998,0.852,0.0,0.0,1.0,134.20810516649405,170.23245832000399,0.044,0.042,0.06,True,True
