rep_id,arena,scenario,channel,vol_mult,snr,phi,detector,detected,alarm_index,score_max,threshold,seed
0,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,288.0,368.0422527582283,128.69349509717262,200000
0,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,315.0,394.9178837627513,207.30832089493356,200000
0,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,288.0,355.8868847379548,120.52986773733024,200000
1,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,330.0,287.06838120026697,128.69349509717262,200001
1,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,325.0,778.0706976653134,207.30832089493356,200001
1,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,325.0,333.7178360365532,120.52986773733024,200001
2,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,323.0,272.4843788240148,128.69349509717262,200002
2,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,408.0,301.52253059731686,207.30832089493356,200002
2,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,318.0,296.8392241977007,120.52986773733024,200002
3,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,308.0,277.41751494125896,128.69349509717262,200003
3,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,367.0,300.5964973500969,207.30832089493356,200003
3,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,296.0,302.48843327884936,120.52986773733024,200003
4,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,411.0,167.5173560668926,128.69349509717262,200004
4,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,464.0,218.63195525028505,207.30832089493356,200004
4,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,366.0,232.09340324601206,120.52986773733024,200004
5,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,raw_var_cusum,1,374.0,236.6254911253221,128.69349509717262,200005
5,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,arima_var_cusum,1,473.0,244.16260342967686,207.30832089493356,200005
5,ar1_snr0.1,variance_x1.5,r,1.5,0.1,0.95,est_kalman_var_cusum,1,369.0,239.94670189247407,120.52986773733024,200005
