detector,arena,snr,scenario,detect_q500,detect_q5000,detect_matched
raw_cusum,ar1_snr0.1,0.1,level_0.5s,0.076,0.072,0.068
raw_cusum,ar1_snr0.1,0.1,level_1s,0.198,0.178,0.168
raw_cusum,ar1_snr0.1,0.1,level_3s,0.966,0.964,0.962
raw_cusum,ar1_snr0.5,0.5,level_0.5s,0.102,0.084,0.09
raw_cusum,ar1_snr0.5,0.5,level_1s,0.3,0.246,0.268
raw_cusum,ar1_snr0.5,0.5,level_3s,0.99,0.988,0.988
raw_cusum,ar1_snr2.0,2.0,level_0.5s,0.11,0.076,0.08
raw_cusum,ar1_snr2.0,2.0,level_1s,0.294,0.23,0.252
raw_cusum,ar1_snr2.0,2.0,level_3s,0.988,0.98,0.986
lsc_kalman_cusum,ar1_snr0.1,0.1,level_0.5s,0.044,0.052,0.058
lsc_kalman_cusum,ar1_snr0.1,0.1,level_1s,0.13,0.152,0.156
lsc_kalman_cusum,ar1_snr0.1,0.1,level_3s,0.654,0.674,0.676
lsc_kalman_cusum,ar1_snr0.5,0.5,level_0.5s,0.05,0.054,0.04
lsc_kalman_cusum,ar1_snr0.5,0.5,level_1s,0.112,0.116,0.106
lsc_kalman_cusum,ar1_snr0.5,0.5,level_3s,0.554,0.562,0.526
lsc_kalman_cusum,ar1_snr2.0,2.0,level_0.5s,0.054,0.05,0.044
lsc_kalman_cusum,ar1_snr2.0,2.0,level_1s,0.116,0.114,0.112
lsc_kalman_cusum,ar1_snr2.0,2.0,level_3s,0.674,0.662,0.636
lsc_state_cusum,ar1_snr0.1,0.1,level_0.5s,0.032,0.032,0.034
lsc_state_cusum,ar1_snr0.1,0.1,level_1s,0.042,0.042,0.044
lsc_state_cusum,ar1_snr0.1,0.1,level_3s,0.194,0.208,0.216
lsc_state_cusum,ar1_snr0.5,0.5,level_0.5s,0.052,0.038,0.038
lsc_state_cusum,ar1_snr0.5,0.5,level_1s,0.104,0.082,0.084
lsc_state_cusum,ar1_snr0.5,0.5,level_3s,0.752,0.628,0.63
lsc_state_cusum,ar1_snr2.0,2.0,level_0.5s,0.086,0.048,0.052
lsc_state_cusum,ar1_snr2.0,2.0,level_1s,0.18,0.136,0.146
lsc_state_cusum,ar1_snr2.0,2.0,level_3s,0.936,0.866,0.886
lsc_composite,ar1_snr0.1,0.1,level_0.5s,0.042,0.042,0.042
lsc_composite,ar1_snr0.1,0.1,level_1s,0.092,0.09,0.094
lsc_composite,ar1_snr0.1,0.1,level_3s,0.766,0.76,0.768
lsc_composite,ar1_snr0.1,0.1,variance_x1.5,0.818,0.814,0.832
lsc_composite,ar1_snr0.1,0.1,variance_x3,0.99,0.99,0.99
lsc_composite,ar1_snr0.5,0.5,level_0.5s,0.046,0.052,0.048
lsc_composite,ar1_snr0.5,0.5,level_1s,0.114,0.12,0.114
lsc_composite,ar1_snr0.5,0.5,level_3s,0.53,0.536,0.532
lsc_composite,ar1_snr0.5,0.5,variance_x1.5,0.868,0.88,0.872
lsc_composite,ar1_snr0.5,0.5,variance_x3,0.992,0.992,0.992
lsc_composite,ar1_snr2.0,2.0,level_0.5s,0.052,0.04,0.042
lsc_composite,ar1_snr2.0,2.0,level_1s,0.122,0.108,0.108
lsc_composite,ar1_snr2.0,2.0,level_3s,0.67,0.636,0.634
lsc_composite,ar1_snr2.0,2.0,variance_x1.5,0.91,0.9,0.894
lsc_composite,ar1_snr2.0,2.0,variance_x3,0.976,0.976,0.982
raw_var_cusum,ar1_snr0.1,0.1,variance_x1.5,0.996,0.996,0.994
raw_var_cusum,ar1_snr0.1,0.1,variance_x3,1.0,1.0,1.0
raw_var_cusum,ar1_snr0.5,0.5,variance_x1.5,0.56,0.496,0.512
raw_var_cusum,ar1_snr0.5,0.5,variance_x3,0.998,0.998,0.998
raw_var_cusum,ar1_snr2.0,2.0,variance_x1.5,0.102,0.078,0.074
raw_var_cusum,ar1_snr2.0,2.0,variance_x3,0.852,0.818,0.81
arima_var_cusum,ar1_snr0.1,0.1,variance_x1.5,0.9,0.936,0.936
arima_var_cusum,ar1_snr0.1,0.1,variance_x3,0.98,0.98,0.98
arima_var_cusum,ar1_snr0.5,0.5,variance_x1.5,0.942,0.94,0.886
arima_var_cusum,ar1_snr0.5,0.5,variance_x3,0.998,0.998,1.0
arima_var_cusum,ar1_snr2.0,2.0,variance_x1.5,0.868,0.904,0.902
arima_var_cusum,ar1_snr2.0,2.0,variance_x3,0.998,0.998,0.998
est_kalman_var_cusum,ar1_snr0.1,0.1,variance_x1.5,0.998,0.998,0.998
est_kalman_var_cusum,ar1_snr0.1,0.1,variance_x3,1.0,1.0,1.0
est_kalman_var_cusum,ar1_snr0.5,0.5,variance_x1.5,0.986,0.988,0.986
est_kalman_var_cusum,ar1_snr0.5,0.5,variance_x3,1.0,1.0,1.0
est_kalman_var_cusum,ar1_snr2.0,2.0,variance_x1.5,0.944,0.972,0.944
est_kalman_var_cusum,ar1_snr2.0,2.0,variance_x3,0.998,0.996,0.998
lsc_tail_cusum,ar1_snr0.1,0.1,variance_x1.5,0.948,0.948,0.948
lsc_tail_cusum,ar1_snr0.1,0.1,variance_x3,0.998,0.996,0.998
lsc_tail_cusum,ar1_snr0.5,0.5,variance_x1.5,0.87,0.898,0.896
lsc_tail_cusum,ar1_snr0.5,0.5,variance_x3,0.998,0.996,0.996
lsc_tail_cusum,ar1_snr2.0,2.0,variance_x1.5,0.842,0.836,0.818
lsc_tail_cusum,ar1_snr2.0,2.0,variance_x3,0.996,0.996,0.996
