config,arena,scenario,phi,snr,delta_sigma_ref,K,F,mu_inf,k,h,L,bound_value,bound_vacuous,bound_below_resolution_floor,h_fixed_ref,bound_at_fixed_h,bound_vacuous_fixed_h,observed_detect_est,observed_detect_known
grid_v1,ar1_snr0.1,level_0.5s,0.95,0.1,0.5,0.0603,1.0642,0.0714,0.5,17.3722,250,8.566792245222854e-05,False,True,17.3722,8.566792245222854e-05,False,0.044,
grid_v1,ar1_snr0.1,level_0.5s,0.95,0.1,0.5,0.0603,1.0642,0.0714,0.5,17.3722,375,0.00012833123044636626,False,True,17.3722,0.00012833123044636626,False,0.044,
grid_v1,ar1_snr0.1,level_1s,0.95,0.1,1.0,0.0603,1.0642,0.1429,0.5,17.3722,250,0.0010247725475259547,False,True,17.3722,0.0010247725475259547,False,0.13,
grid_v1,ar1_snr0.1,level_1s,0.95,0.1,1.0,0.0603,1.0642,0.1429,0.5,17.3722,375,0.0015351174417121871,False,True,17.3722,0.0015351174417121871,False,0.13,
grid_v1,ar1_snr0.1,level_3s,0.95,0.1,3.0,0.0603,1.0642,0.4286,0.5,17.3722,250,20.98284988939423,True,False,17.3722,20.98284988939423,True,0.654,
grid_v1,ar1_snr0.1,level_3s,0.95,0.1,3.0,0.0603,1.0642,0.4286,0.5,17.3722,375,31.432476328335582,True,False,17.3722,31.432476328335582,True,0.654,
grid_v1,ar1_snr0.5,level_0.5s,0.95,0.5,0.5,0.1651,1.1978,0.0781,0.5,22.1451,250,1.9238400627544874e-06,False,True,22.1451,1.9238400627544874e-06,False,0.05,
grid_v1,ar1_snr0.5,level_0.5s,0.95,0.5,0.5,0.1651,1.1978,0.0781,0.5,22.1451,375,2.8819277434091125e-06,False,True,22.1451,2.8819277434091125e-06,False,0.05,
grid_v1,ar1_snr0.5,level_1s,0.95,0.5,1.0,0.1651,1.1978,0.1562,0.5,22.1451,250,6.111829263712632e-05,False,True,22.1451,6.111829263712632e-05,False,0.112,
grid_v1,ar1_snr0.5,level_1s,0.95,0.5,1.0,0.1651,1.1978,0.1562,0.5,22.1451,375,9.155568936876292e-05,False,True,22.1451,9.155568936876292e-05,False,0.112,
grid_v1,ar1_snr0.5,level_3s,0.95,0.5,3.0,0.1651,1.1978,0.4685,0.5,22.1451,250,62.25585617865831,True,False,22.1451,62.25585617865831,True,0.554,0.97
grid_v1,ar1_snr0.5,level_3s,0.95,0.5,3.0,0.1651,1.1978,0.4685,0.5,22.1451,375,93.25976861822919,True,False,22.1451,93.25976861822919,True,0.554,0.97
grid_v1,ar1_snr2.0,level_0.5s,0.95,2.0,0.5,0.3302,1.493,0.0796,0.5,15.3659,250,0.0006139506094823877,False,True,15.3659,0.0006139506094823877,False,0.054,
grid_v1,ar1_snr2.0,level_0.5s,0.95,2.0,0.5,0.3302,1.493,0.0796,0.5,15.3659,375,0.0009197029050413457,False,True,15.3659,0.0009197029050413457,False,0.054,
grid_v1,ar1_snr2.0,level_1s,0.95,2.0,1.0,0.3302,1.493,0.1591,0.5,15.3659,250,0.00707846772212597,False,False,15.3659,0.00707846772212597,False,0.116,
grid_v1,ar1_snr2.0,level_1s,0.95,2.0,1.0,0.3302,1.493,0.1591,0.5,15.3659,375,0.010603601049877946,False,False,15.3659,0.010603601049877946,False,0.116,
grid_v1,ar1_snr2.0,level_3s,0.95,2.0,3.0,0.3302,1.493,0.4773,0.5,15.3659,250,125.07270446032803,True,False,15.3659,125.07270446032803,True,0.674,
grid_v1,ar1_snr2.0,level_3s,0.95,2.0,3.0,0.3302,1.493,0.4773,0.5,15.3659,375,187.35990787682604,True,False,15.3659,187.35990787682604,True,0.674,
grid_v6_phisweep,ar1_phi0.5_snr0.1,level_1s,0.5,0.1,1.0,0.0885,1.0971,0.2774,0.5,9.184,250,4.2031408520063716,True,False,17.3722,0.10965690795378942,False,0.29,
grid_v6_phisweep,ar1_phi0.5_snr0.1,level_1s,0.5,0.1,1.0,0.0885,1.0971,0.2774,0.5,9.184,375,6.296338487467712,True,False,17.3722,0.16426692187499928,False,0.29,
grid_v6_phisweep,ar1_phi0.5_snr0.1,level_3s,0.5,0.1,3.0,0.0885,1.0971,0.8321,0.5,9.184,250,111807.51594339825,True,False,17.3722,25709285.845053684,True,0.982,
grid_v6_phisweep,ar1_phi0.5_snr0.1,level_3s,0.5,0.1,3.0,0.0885,1.0971,0.8321,0.5,9.184,375,167488.54977975195,True,False,17.3722,38512715.050757706,True,0.982,
grid_v6_phisweep,ar1_phi0.5_snr0.5,level_1s,0.5,0.5,1.0,0.3117,1.4529,0.4472,0.5,9.4496,250,92.55789061263052,True,False,22.1451,24.228497974874898,True,0.654,
grid_v6_phisweep,ar1_phi0.5_snr0.5,level_1s,0.5,0.5,1.0,0.3117,1.4529,0.4472,0.5,9.4496,375,138.65245765079314,True,False,22.1451,36.29448302212335,True,0.654,
grid_v6_phisweep,ar1_phi0.5_snr0.5,level_3s,0.5,0.5,3.0,0.3117,1.4529,1.3416,0.5,9.4496,250,2030922361.4018388,True,False,22.1451,3.8783414630898493e+18,True,0.996,
grid_v6_phisweep,ar1_phi0.5_snr0.5,level_3s,0.5,0.5,3.0,0.3117,1.4529,1.3416,0.5,9.4496,375,3042337880.0282526,True,False,22.1451,5.809786414827822e+18,True,0.996,
grid_v6_phisweep,ar1_phi0.5_snr2.0,level_1s,0.5,2.0,1.0,0.6235,2.6559,0.5345,0.5,9.403,250,480.43134699449155,True,False,15.3659,725.1614147996024,True,0.83,
grid_v6_phisweep,ar1_phi0.5_snr2.0,level_1s,0.5,2.0,1.0,0.6235,2.6559,0.5345,0.5,9.403,375,719.6899859359714,True,False,15.3659,1086.2975775484085,True,0.83,
