detector,h,p_detect_by_h
lsc_kalman_cusum,10,0.018
raw_cusum,10,0.008
lsc_kalman_cusum,20,0.078
raw_cusum,20,0.018
lsc_kalman_cusum,30,0.148
raw_cusum,30,0.056
lsc_kalman_cusum,40,0.214
raw_cusum,40,0.106
lsc_kalman_cusum,50,0.258
raw_cusum,50,0.19
lsc_kalman_cusum,60,0.3
raw_cusum,60,0.292
lsc_kalman_cusum,70,0.328
raw_cusum,70,0.416
lsc_kalman_cusum,80,0.356
raw_cusum,80,0.558
lsc_kalman_cusum,90,0.378
raw_cusum,90,0.672
lsc_kalman_cusum,100,0.398
raw_cusum,100,0.73
lsc_kalman_cusum,110,0.416
raw_cusum,110,0.8
lsc_kalman_cusum,120,0.442
raw_cusum,120,0.848
lsc_kalman_cusum,130,0.452
raw_cusum,130,0.888
lsc_kalman_cusum,140,0.466
raw_cusum,140,0.91
lsc_kalman_cusum,150,0.47
raw_cusum,150,0.932
lsc_kalman_cusum,160,0.484
raw_cusum,160,0.942
lsc_kalman_cusum,170,0.49
raw_cusum,170,0.956
lsc_kalman_cusum,180,0.492
raw_cusum,180,0.964
lsc_kalman_cusum,190,0.5
raw_cusum,190,0.974
lsc_kalman_cusum,200,0.51
raw_cusum,200,0.984
lsc_kalman_cusum,210,0.52
raw_cusum,210,0.986
lsc_kalman_cusum,220,0.524
raw_cusum,220,0.988
lsc_kalman_cusum,230,0.536
raw_cusum,230,0.988
lsc_kalman_cusum,240,0.544
raw_cusum,240,0.99
lsc_kalman_cusum,250,0.554
raw_cusum,250,0.99
