rep_id,arena,scenario,channel,vol_mult,snr,phi,detector,detected,alarm_index,score_max,threshold,seed
0,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,270.0,183.1806659959866,22.14512826431865,200000
0,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,286.0,492.58526223276164,103.19232082036218,200000
1,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,448.0,26.336286937179622,22.14512826431865,200001
1,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,373.0,278.9888256874004,103.19232082036218,200001
2,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,305.0,79.7801715140227,22.14512826431865,200002
2,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,373.0,269.8151029264228,103.19232082036218,200002
3,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.106638820417952,22.14512826431865,200003
3,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,340.0,292.69127523643755,103.19232082036218,200003
4,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,13.042541816225189,22.14512826431865,200004
4,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,304.0,376.86355575240896,103.19232082036218,200004
5,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,355.0,75.23087068386641,22.14512826431865,200005
5,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,354.0,311.98553430294993,103.19232082036218,200005
6,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.710343522560503,22.14512826431865,200006
6,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,361.0,204.8285959390293,103.19232082036218,200006
7,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,356.0,33.90413337661025,22.14512826431865,200007
7,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,332.0,323.2880773711584,103.19232082036218,200007
8,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.189904034741357,22.14512826431865,200008
8,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,331.0,422.72658939715467,103.19232082036218,200008
9,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,296.0,49.28914303437394,22.14512826431865,200009
9,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,298.0,415.21697891352164,103.19232082036218,200009
10,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,423.0,42.06473716709764,22.14512826431865,200010
10,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,409.0,208.65128135027783,103.19232082036218,200010
11,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,288.0,134.48744586693275,22.14512826431865,200011
11,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,323.0,317.26339617558904,103.19232082036218,200011
12,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,9.001182569250622,22.14512826431865,200012
12,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,283.0,394.72484907276066,103.19232082036218,200012
13,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,260.0,154.62283890283092,22.14512826431865,200013
13,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,273.0,400.58254270183727,103.19232082036218,200013
14,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,407.0,40.334425097611266,22.14512826431865,200014
14,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,338.0,301.8871786009317,103.19232082036218,200014
15,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,406.0,54.544772470269095,22.14512826431865,200015
15,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,341.0,343.3220127665427,103.19232082036218,200015
16,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,9.811008473908286,22.14512826431865,200016
16,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,358.0,352.808226606115,103.19232082036218,200016
17,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,16.196385703894,22.14512826431865,200017
17,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,288.0,602.7306523325873,103.19232082036218,200017
18,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,13.899081539340367,22.14512826431865,200018
18,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,337.0,247.76981473473668,103.19232082036218,200018
19,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.096115764476577,22.14512826431865,200019
19,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,326.0,283.8030862809124,103.19232082036218,200019
20,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,303.0,69.93025906333679,22.14512826431865,200020
20,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,329.0,299.737474242834,103.19232082036218,200020
21,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,19.68372091075765,22.14512826431865,200021
21,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,310.0,367.4990737168282,103.19232082036218,200021
22,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.354332393104862,22.14512826431865,200022
22,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,353.0,269.6295259862178,103.19232082036218,200022
23,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,324.0,43.91817259523961,22.14512826431865,200023
23,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,318.0,330.96581614630816,103.19232082036218,200023
24,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,11.97687971125546,22.14512826431865,200024
24,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,350.0,206.10696108444833,103.19232082036218,200024
25,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,420.0,27.26831293076756,22.14512826431865,200025
25,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,317.0,371.98002429692315,103.19232082036218,200025
26,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,274.0,461.70563783447017,22.14512826431865,200026
26,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,449.2651495425987,103.19232082036218,200026
27,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,277.0,336.0851245990778,22.14512826431865,200027
27,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,341.0,361.82123643765794,103.19232082036218,200027
28,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,287.0,94.34254217807062,22.14512826431865,200028
28,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,327.0,308.926224647967,103.19232082036218,200028
29,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,6.012045054034375,22.14512826431865,200029
29,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,394.0,179.13395965768288,103.19232082036218,200029
30,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.258658817955073,22.14512826431865,200030
30,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,324.0,449.41332279159553,103.19232082036218,200030
31,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,284.0,146.42590232144636,22.14512826431865,200031
31,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,308.0,437.6835583957965,103.19232082036218,200031
32,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,14.01525228827877,22.14512826431865,200032
32,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,348.0,255.0845048786655,103.19232082036218,200032
33,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,273.0,115.52265123007511,22.14512826431865,200033
33,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,324.0,323.9350391340457,103.19232082036218,200033
34,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,381.0,57.6739220344267,22.14512826431865,200034
34,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,327.0,505.73562423024913,103.19232082036218,200034
35,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,10.438441565602014,22.14512826431865,200035
35,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,294.0,604.4466542085971,103.19232082036218,200035
36,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,9.912295050662694,22.14512826431865,200036
36,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,0,,83.29207941235,103.19232082036218,200036
37,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,1,447.0,25.725962611857934,22.14512826431865,200037
37,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,397.0,226.74177512883082,103.19232082036218,200037
38,ar1_snr0.5,level_3s,level,,0.5,0.95,lsc_kalman_cusum,0,,12.819346292667753,22.14512826431865,200038
38,ar1_snr0.5,level_3s,level,,0.5,0.95,raw_cusum,1,343.0,294.8789949462119,103.19232082036218,200038
