T,arena,method,threshold,far_target,far_empirical
500,ar1_snr0.1,lsc_composite,35.301315664191286,0.05,0.052
500,ar1_snr0.1,lsc_kalman_cusum,17.37223254900112,0.05,0.034
500,ar1_snr0.1,lsc_state_cusum,492.27206562154703,0.05,0.05
500,ar1_snr0.1,raw_cusum,27.489993868664545,0.05,0.04
500,ar1_snr0.5,lsc_composite,32.528390406406224,0.05,0.048
500,ar1_snr0.5,lsc_kalman_cusum,22.14512826431865,0.05,0.048
500,ar1_snr0.5,lsc_state_cusum,525.3112534253603,0.05,0.054
500,ar1_snr0.5,raw_cusum,103.19232082036218,0.05,0.062
500,ar1_snr2.0,lsc_composite,20.924038348493895,0.05,0.062
500,ar1_snr2.0,lsc_kalman_cusum,15.365947268273967,0.05,0.048
500,ar1_snr2.0,lsc_state_cusum,439.85003169361096,0.05,0.078
500,ar1_snr2.0,raw_cusum,213.88728356819823,0.05,0.082
