T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_snr0.1,level_0.5s,lsc_composite,500,0.042,0.008979602804860922,0.01,0.004454175497072093,0.948,0.009939294701251022,246.16767676767677,1.0657505167823897,189.0,159.66666666666666,16.4498275187561
500,ar1_snr0.1,level_0.5s,lsc_kalman_cusum,500,0.044,0.009181317617116441,0.014,0.005259593772650755,0.942,0.010463793860924815,244.50912778904666,1.343830622002967,116.5,126.95454545454545,16.10349069102872
500,ar1_snr0.1,level_0.5s,lsc_state_cusum,500,0.032,0.007878842066230875,0.0,0.0,0.968,0.007878842066230875,245.552,1.207487741258925,115.5,111.0,16.397916534324313
500,ar1_snr0.1,level_0.5s,raw_cusum,500,0.076,0.01186294478271882,0.01,0.004454175497072093,0.914,0.012550818542716023,240.87878787878788,1.6492362090040715,129.0,131.18421052631578,10.990934791932355
500,ar1_snr0.1,level_1s,lsc_composite,500,0.092,0.012938578501027635,0.01,0.004454175497072093,0.898,0.013548399102346849,242.01818181818183,1.496121345252046,188.5,164.1086956521739,10.757099813021798
500,ar1_snr0.1,level_1s,lsc_kalman_cusum,500,0.13,0.015055009352810992,0.014,0.005259593772650755,0.856,0.015716934945725784,235.51926977687626,1.9855833852738736,145.0,140.16923076923078,8.139161304800522
500,ar1_snr0.1,level_1s,lsc_state_cusum,500,0.042,0.008979602804860922,0.0,0.0,0.958,0.008979602804860922,244.724,1.2821886223667145,125.0,124.38095238095238,14.857654142606606
500,ar1_snr0.1,level_1s,raw_cusum,500,0.198,0.01783895896384729,0.01,0.004454175497072093,0.792,0.018169542221229962,226.93131313131312,2.467421279267059,133.0,134.65656565656565,6.696395705411011
500,ar1_snr0.1,level_3s,lsc_composite,500,0.766,0.018952741564893752,0.01,0.004454175497072093,0.224,0.01866399446471086,143.7010101010101,3.656093738787087,93.0,112.61618798955614,3.340905785518031
500,ar1_snr0.1,level_3s,lsc_kalman_cusum,500,0.654,0.021294951277234693,0.014,0.005259593772650755,0.332,0.0210817665712228,126.5841784989858,4.325724486425425,50.0,63.932721712538225,2.6109577248347473
500,ar1_snr0.1,level_3s,lsc_state_cusum,500,0.194,0.017701827855304598,0.0,0.0,0.806,0.017701827855304598,233.026,1.9427236030881982,178.0,162.50515463917526,6.070411658555426
500,ar1_snr0.1,level_3s,raw_cusum,500,0.966,0.008112930375552174,0.01,0.004454175497072093,0.024,0.00685141472745119,76.61616161616162,2.4104499513254214,58.0,72.30848861283644,2.1248124500103716
500,ar1_snr0.1,ramp_3s_hl5,lsc_composite,500,0.766,0.018952741564893752,0.01,0.004454175497072093,0.224,0.01866399446471086,146.24242424242425,3.5717673808065933,95.0,115.90078328981723,3.266669436450337
500,ar1_snr0.1,ramp_3s_hl5,lsc_kalman_cusum,500,0.656,0.021265758037978793,0.012,0.004874373707264981,0.332,0.0210817665712228,128.665991902834,4.25975762399314,52.5,67.25914634146342,2.624065882378418
500,ar1_snr0.1,ramp_3s_hl5,lsc_state_cusum,500,0.194,0.017701827855304598,0.0,0.0,0.806,0.017701827855304598,233.174,1.9344776699955528,178.0,163.2680412371134,6.091733516726902
500,ar1_snr0.1,ramp_3s_hl5,raw_cusum,500,0.964,0.008339490043664344,0.012,0.004874373707264981,0.024,0.00685141472745119,79.25506072874494,2.407231134419544,61.0,75.00414937759336,2.1308786975145684
500,ar1_snr0.1,ramp_3s_hl25,lsc_composite,500,0.74,0.01963596552972553,0.012,0.004874373707264981,0.248,0.01933234282123912,158.63967611336034,3.3566879108685628,115.0,128.02162162162162,3.158708531752624
500,ar1_snr0.1,ramp_3s_hl25,lsc_kalman_cusum,500,0.626,0.021660710347204473,0.028,0.007385193441226075,0.346,0.021294951277234693,143.93827160493828,4.017602727919513,75.0,85.31629392971246,2.831411809877093
500,ar1_snr0.1,ramp_3s_hl25,lsc_state_cusum,500,0.19,0.01756180041075899,0.0,0.0,0.81,0.01756180041075899,234.152,1.887310699209513,182.0,166.58947368421053,6.290281074744812
500,ar1_snr0.1,ramp_3s_hl25,raw_cusum,500,0.928,0.011571508095282929,0.03,0.007636532803997704,0.042,0.008979602804860922,98.05154639175258,2.7055505691704944,83.0,91.17456896551724,2.3747178630772434
500,ar1_snr0.1,variance_x3,lsc_composite,500,0.99,0.004454175497072093,0.01,0.004454175497072093,0.0,0.0,29.288888888888888,0.4510908586761744,27.0,29.288888888888888,0.4510908586761744
500,ar1_snr0.1,variance_x3,lsc_kalman_cusum,500,0.87,0.015055009352810992,0.014,0.005259593772650755,0.116,0.014335236237885723,100.32860040567951,3.5822023779062437,61.0,80.37241379310345,2.947349191127323
500,ar1_snr0.1,variance_x3,lsc_state_cusum,500,0.04,0.008772337648291433,0.0,0.0,0.96,0.008772337648291433,244.604,1.323724617027064,106.0,115.1,15.199013125857878
500,ar1_snr0.1,variance_x3,raw_cusum,500,0.728,0.019920483209566107,0.01,0.004454175497072093,0.262,0.019684688820194637,142.62020202020202,3.7987640222950643,91.0,103.97527472527473,3.340692211708347
500,ar1_snr0.1,variance_x1.5,lsc_composite,500,0.818,0.017272773297730432,0.01,0.004454175497072093,0.172,0.01689386887634749,171.12525252525253,2.582442023801402,170.0,154.54034229828852,2.4273908386025114
500,ar1_snr0.1,variance_x1.5,lsc_kalman_cusum,500,0.078,0.012005008974630627,0.014,0.005259593772650755,0.908,0.012938578501027635,238.80933062880325,1.9053011098762793,93.0,108.53846153846153,10.449276373311132
500,ar1_snr0.1,variance_x1.5,lsc_state_cusum,500,0.034,0.008112930375552174,0.0,0.0,0.966,0.008112930375552174,245.218,1.2490529285970529,96.0,109.3529411764706,15.387146368199705
500,ar1_snr0.1,variance_x1.5,raw_cusum,500,0.094,0.013064047561049166,0.01,0.004454175497072093,0.896,0.013665338743182763,239.5010101010101,1.7404355941297638,143.0,139.4255319148936,10.10164551313016
500,ar1_snr0.1,persistence_up,lsc_composite,500,0.044,0.009181317617116443,0.01,0.004454175497072093,0.946,0.010117941761592718,245.8242424242424,1.1135060644171821,171.5,156.04545454545453,15.955766409048422
