T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_t5,level_1s,lsc_composite,500,0.074,0.011718474529160406,0.028,0.0073851934412260765,0.898,0.01354839910234685,241.380658436214,1.5899041101593228,147.0,136.78378378378378,10.879847139389376
500,ar1_t5,level_1s,lsc_kalman_cusum,500,0.088,0.012682021421471788,0.024,0.00685141472745119,0.888,0.014117741364768123,239.6905737704918,1.8003492532280365,147.5,135.6590909090909,11.424027162000119
500,ar1_t5,level_1s,lsc_state_cusum,500,0.102,0.01354839910234685,0.004,0.002825591608118863,0.894,0.01378070446788779,241.55220883534136,1.4200171344510526,178.0,167.50980392156862,8.57691258263785
500,ar1_t5,level_1s,raw_cusum,500,0.246,0.019279819056352458,0.0,0.0,0.754,0.019279819056352458,226.554,2.243424184621421,161.0,154.6910569105691,5.247901278007297
500,ar1_t5,level_3s,lsc_composite,500,0.51,0.022378596989230864,0.028,0.0073851934412260765,0.462,0.022318338119870523,165.69135802469137,4.06822293413909,68.0,89.31764705882352,3.4518842942992034
500,ar1_t5,level_3s,lsc_kalman_cusum,500,0.55,0.022270877485360472,0.024,0.00685141472745119,0.426,0.022136577335085575,147.9077868852459,4.538208307809872,47.0,68.83272727272727,3.5600942134938176
500,ar1_t5,level_3s,lsc_state_cusum,500,0.7,0.020514426225627984,0.004,0.002825591608118863,0.296,0.020435342091896225,186.8574297188755,2.745186171477278,166.0,160.15714285714284,2.897662836702993
500,ar1_t5,level_3s,raw_cusum,500,0.994,0.003457152557758369,0.0,0.0,0.006,0.003457152557758369,89.142,1.814480739138724,82.0,88.17102615694165,1.7365049384184041
500,ar1_t5,variance_x1.5,lsc_composite,500,0.156,0.016243636028391108,0.028,0.0073851934412260765,0.816,0.017346174781752842,234.16255144032922,1.908807404197184,175.0,151.32051282051282,6.068553138328921
500,ar1_t5,variance_x1.5,lsc_kalman_cusum,500,0.036,0.008339490043664344,0.024,0.00685141472745119,0.94,0.01063137113001933,244.4610655737705,1.4292708204847724,83.5,99.83333333333333,17.578814120479034
500,ar1_t5,variance_x1.5,lsc_state_cusum,500,0.034,0.008112930375552172,0.004,0.002825591608118863,0.962,0.008559118940292168,245.83132530120483,1.145728924444986,99.0,127.88235294117646,17.15390590767226
500,ar1_t5,variance_x1.5,raw_cusum,500,0.048,0.009569490597759172,0.0,0.0,0.952,0.009569490597759172,245.116,1.1393970067883084,155.5,148.25,12.580213645336825
500,ar1_t5,variance_x3,lsc_composite,500,0.972,0.0073851934412260765,0.028,0.0073851934412260765,0.0,0.0,68.23045267489712,1.3023643324188028,70.0,68.23045267489712,1.3023643324188028
500,ar1_t5,variance_x3,lsc_kalman_cusum,500,0.324,0.020950557312477556,0.024,0.00685141472745119,0.652,0.021323728632807425,203.9877049180328,3.4887893533731056,104.0,111.39506172839506,5.585120490526246
