T,arena,method,threshold,far_target,far_empirical
500,ar1_snr0.1,raw_var_cusum,128.69349509717262,0.05,0.06
500,ar1_snr0.1,arima_var_cusum,207.30832089493356,0.05,0.044
500,ar1_snr0.1,lsc_composite,35.301315664191286,0.05,0.052
500,ar1_snr0.1,lsc_tail_cusum,14.859217391304336,0.05,0.06
500,ar1_snr0.5,raw_var_cusum,274.7980872735383,0.05,0.066
500,ar1_snr0.5,arima_var_cusum,173.074957693661,0.05,0.06
500,ar1_snr0.5,lsc_composite,32.528390406406224,0.05,0.048
500,ar1_snr0.5,lsc_tail_cusum,17.200347826087047,0.05,0.036
500,ar1_snr2.0,raw_var_cusum,615.259515519754,0.05,0.06
500,ar1_snr2.0,arima_var_cusum,170.23245832000399,0.05,0.042
500,ar1_snr2.0,lsc_composite,20.924038348493895,0.05,0.062
500,ar1_snr2.0,lsc_tail_cusum,14.827369565217428,0.05,0.062
500,ar1_t5,raw_var_cusum,319.4859608218597,0.05,0.068
500,ar1_t5,arima_var_cusum,224.7768129672731,0.05,0.066
500,ar1_t5,lsc_composite,28.400477759052617,0.05,0.062
500,ar1_t5,lsc_tail_cusum,15.692239130434764,0.05,0.06
