T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_snr0.1,qvar_x1.5,raw_var_cusum,500,0.094,0.013064047561049166,0.0,0.0,0.906,0.013064047561049166,242.818,1.227605711768699,181.0,173.59574468085106,7.677089646102262
500,ar1_snr0.1,qvar_x1.5,arima_var_cusum,500,0.032,0.007878842066230874,0.02,0.006267260734501832,0.948,0.009939294701251022,247.20408163265307,0.84548897085422,181.0,164.375,15.520114636604116
500,ar1_snr0.1,qvar_x1.5,lsc_composite,500,0.064,0.01095664621097098,0.01,0.004454175497072093,0.926,0.011718474529160403,244.08282828282827,1.2995751030919562,177.0,158.46875,12.787893119410551
500,ar1_snr0.1,qvar_x1.5,lsc_tail_cusum,500,0.046,0.009377840251121315,0.002,0.002,0.952,0.009569490597759172,246.22845691382764,1.011359843605119,202.0,168.17391304347825,14.5608512127273
500,ar1_snr0.1,qvar_x3,raw_var_cusum,500,0.724,0.02001121929807355,0.0,0.0,0.276,0.02001121929807355,173.304,3.109987655028369,143.5,144.06629834254144,3.144249876631032
500,ar1_snr0.1,qvar_x3,arima_var_cusum,500,0.262,0.019684688820194637,0.02,0.006267260734501832,0.718,0.020143572847290726,227.83265306122448,2.114394946242119,179.0,167.08396946564886,4.914800088917848
500,ar1_snr0.1,qvar_x3,lsc_composite,500,0.438,0.022210326363977382,0.01,0.004454175497072093,0.552,0.022261697292270084,196.74545454545455,3.2144344371851723,135.0,129.63013698630138,3.98302144454916
500,ar1_snr0.1,qvar_x3,lsc_tail_cusum,500,0.41,0.022017482578127686,0.002,0.002,0.588,0.02203367799374094,206.84168336673346,2.8764638088901213,152.0,144.94634146341463,4.158327599018379
500,ar1_snr0.1,qvar_x0.67,raw_var_cusum,500,0.016,0.0056170367814719555,0.0,0.0,0.984,0.0056170367814719555,248.76,0.503380157700254,155.5,172.5,16.871362041721977
500,ar1_snr0.1,qvar_x0.67,arima_var_cusum,500,0.02,0.006267260734501832,0.02,0.006267260734501832,0.96,0.008772337648291433,248.29183673469387,0.743165140275503,204.0,166.3,26.60578466758268
500,ar1_snr0.1,qvar_x0.67,lsc_composite,500,0.024,0.00685141472745119,0.01,0.004454175497072093,0.966,0.008112930375552175,247.78383838383837,0.8688266890430265,203.5,158.58333333333334,25.633328900184825
500,ar1_snr0.1,qvar_x0.67,lsc_tail_cusum,500,0.024,0.00685141472745119,0.002,0.002,0.974,0.007123868260853508,248.05210420841684,0.6560346230733077,153.0,169.0,15.103682071641078
500,ar1_snr0.5,qvar_x1.5,raw_var_cusum,500,0.212,0.01829703700401386,0.002,0.002,0.786,0.01835979750238704,232.78957915831663,1.8688314178140306,181.0,168.9811320754717,5.361286490755037
500,ar1_snr0.5,qvar_x1.5,arima_var_cusum,500,0.1,0.013429844431075358,0.002,0.002,0.898,0.01354839910234685,240.24649298597194,1.540555616850522,161.0,152.66,8.168861235052963
500,ar1_snr0.5,qvar_x1.5,lsc_composite,500,0.106,0.01378070446788779,0.008,0.003987957825156938,0.886,0.014227186146645534,235.90725806451613,2.06889102959498,127.0,118.11320754716981,9.085973031779393
500,ar1_snr0.5,qvar_x1.5,lsc_tail_cusum,500,0.078,0.012005008974630627,0.002,0.002,0.92,0.012144751540478706,241.7695390781563,1.5519957679165328,137.0,144.69230769230768,11.613091979548072
500,ar1_snr0.5,qvar_x3,raw_var_cusum,500,0.962,0.008559118940292168,0.002,0.002,0.036,0.008339490043664344,113.89579158316633,2.5979151855305185,104.0,108.8024948024948,2.401258834981614
500,ar1_snr0.5,qvar_x3,arima_var_cusum,500,0.794,0.018104794037333553,0.002,0.002,0.204,0.01803936910413861,162.98797595190382,3.042912012862488,141.0,140.632241813602,2.9089149252675828
500,ar1_snr0.5,qvar_x3,lsc_composite,500,0.76,0.019118866653759798,0.008,0.003987957825156938,0.232,0.018896193591952035,152.69354838709677,3.44140865008553,127.0,122.98947368421052,3.199309003446363
500,ar1_snr0.5,qvar_x3,lsc_tail_cusum,500,0.76,0.0191188666537598,0.002,0.002,0.238,0.019064072958198387,161.64729458917836,3.1636770917738968,128.0,133.97894736842105,2.9664815383770593
500,ar1_snr0.5,qvar_x0.67,raw_var_cusum,500,0.006,0.003457152557758369,0.002,0.002,0.992,0.003987957825156938,249.07014028056113,0.5649946373645537,123.0,95.33333333333333,36.49809736289155
500,ar1_snr0.5,qvar_x0.67,arima_var_cusum,500,0.014,0.005259593772650755,0.002,0.002,0.984,0.0056170367814719555,249.04008016032063,0.4833848256181452,217.0,181.57142857142858,24.759661070510038
500,ar1_snr0.5,qvar_x0.67,lsc_composite,500,0.01,0.004454175497072093,0.008,0.003987957825156938,0.982,0.005951709476392708,248.6108870967742,0.750360783240138,105.0,112.2,47.03764449884794
500,ar1_snr0.5,qvar_x0.67,lsc_tail_cusum,500,0.018,0.005951709476392708,0.002,0.002,0.98,0.006267260734501832,249.17034068136272,0.37747565682349726,218.0,204.0,15.233369803019803
500,ar1_snr2.0,qvar_x1.5,raw_var_cusum,500,0.23,0.018839050391123182,0.0,0.0,0.77,0.018839050391123182,229.918,2.102756696207836,170.0,162.68695652173912,5.7145333104396
500,ar1_snr2.0,qvar_x1.5,arima_var_cusum,500,0.158,0.0163280498045799,0.002,0.002,0.84,0.016411540980502393,235.85170340681364,1.7817007193320658,168.0,160.63291139240508,6.46833791603662
500,ar1_snr2.0,qvar_x1.5,lsc_composite,500,0.234,0.01895274156489375,0.024,0.006851414727451189,0.742,0.019586711785215868,221.6372950819672,2.7062720690252315,141.0,131.7008547008547,6.0438551627258885
500,ar1_snr2.0,qvar_x1.5,lsc_tail_cusum,500,0.218,0.01848337822317885,0.004,0.002825591608118863,0.778,0.018604414758250098,230.13253012048193,2.1161795036786186,161.0,159.22935779816513,5.878984511815538
500,ar1_snr2.0,qvar_x3,raw_var_cusum,500,0.96,0.008772337648291433,0.0,0.0,0.04,0.008772337648291433,113.204,2.7237375535321022,101.0,107.50416666666666,2.5208938926569795
