T,arena,method,threshold,far_target,far_empirical
500,ar1_phi0.5_snr0.1,lsc_kalman_cusum,9.183971869621928,0.05,0.032
500,ar1_phi0.5_snr0.1,raw_cusum,10.39337663508954,0.05,0.042
500,ar1_phi0.8_snr0.1,lsc_kalman_cusum,10.539735433378377,0.05,0.034
500,ar1_phi0.8_snr0.1,raw_cusum,14.358954404705985,0.05,0.034
500,ar1_phi0.95_snr0.1,lsc_kalman_cusum,17.37223254900112,0.05,0.034
500,ar1_phi0.95_snr0.1,raw_cusum,27.489993868664545,0.05,0.04
500,ar1_phi0.99_snr0.1,lsc_kalman_cusum,22.844076582209667,0.05,0.052
500,ar1_phi0.99_snr0.1,raw_cusum,58.47600852545296,0.05,0.078
500,ar1_phi0.5_snr0.5,lsc_kalman_cusum,9.449579445316399,0.05,0.054
500,ar1_phi0.5_snr0.5,raw_cusum,14.13536614525958,0.05,0.056
500,ar1_phi0.8_snr0.5,lsc_kalman_cusum,11.313420570632475,0.05,0.07
500,ar1_phi0.8_snr0.5,raw_cusum,31.240752746091562,0.05,0.038
500,ar1_phi0.95_snr0.5,lsc_kalman_cusum,22.14512826431865,0.05,0.048
500,ar1_phi0.95_snr0.5,raw_cusum,103.19232082036218,0.05,0.062
500,ar1_phi0.99_snr0.5,lsc_kalman_cusum,80.15574290413181,0.05,0.038
500,ar1_phi0.99_snr0.5,raw_cusum,238.7616577630887,0.05,0.074
500,ar1_phi0.5_snr2.0,lsc_kalman_cusum,9.40302273876217,0.05,0.046
500,ar1_phi0.5_snr2.0,raw_cusum,19.61326312095563,0.05,0.068
500,ar1_phi0.8_snr2.0,lsc_kalman_cusum,11.032199625333131,0.05,0.058
500,ar1_phi0.8_snr2.0,raw_cusum,54.561665974947296,0.05,0.06
500,ar1_phi0.95_snr2.0,lsc_kalman_cusum,15.365947268273967,0.05,0.048
500,ar1_phi0.95_snr2.0,raw_cusum,213.88728356819823,0.05,0.082
500,ar1_phi0.99_snr2.0,lsc_kalman_cusum,36.21142542365663,0.05,0.042
500,ar1_phi0.99_snr2.0,raw_cusum,522.5282441937264,0.05,0.064
