arena,phi,snr,scenario,magnitude,method,mu_inf,fast_regime,detect_rate,detect_rate_se,mean_delay
ar1_phi0.5_snr0.1,0.5,0.1,level_1s,1.0,lsc_kalman_cusum,0.27735009811261463,False,0.29,0.020313179231745138,212.6586345381526
ar1_phi0.5_snr0.1,0.5,0.1,level_1s,1.0,raw_cusum,0.27735009811261463,False,0.316,0.02081235951585582,209.08064516129033
ar1_phi0.8_snr0.1,0.8,0.1,level_1s,1.0,lsc_kalman_cusum,0.2294157338705618,False,0.24,0.0191188666537598,218.4437751004016
ar1_phi0.8_snr0.1,0.8,0.1,level_1s,1.0,raw_cusum,0.2294157338705618,False,0.252,0.019435727282249564,217.28024193548387
ar1_phi0.95_snr0.1,0.95,0.1,level_1s,1.0,lsc_kalman_cusum,0.14285714285714282,False,0.13,0.015055009352810992,235.51926977687626
ar1_phi0.95_snr0.1,0.95,0.1,level_1s,1.0,raw_cusum,0.14285714285714282,False,0.198,0.01783895896384729,226.93131313131312
ar1_phi0.99_snr0.1,0.99,0.1,level_1s,1.0,lsc_kalman_cusum,0.06917144638660762,False,0.146,0.015807205175834907,231.61020408163265
ar1_phi0.99_snr0.1,0.99,0.1,level_1s,1.0,raw_cusum,0.06917144638660762,False,0.146,0.015807205175834903,233.40881763527054
ar1_phi0.5_snr0.5,0.5,0.5,level_1s,1.0,lsc_kalman_cusum,0.4472135954999581,False,0.654,0.021294951277234693,146.7309236947791
ar1_phi0.5_snr0.5,0.5,0.5,level_1s,1.0,raw_cusum,0.4472135954999581,False,0.856,0.015716934945725784,106.94141414141414
ar1_phi0.8_snr0.5,0.8,0.5,level_1s,1.0,lsc_kalman_cusum,0.30151134457776363,False,0.306,0.020629569998345417,205.7914979757085
ar1_phi0.8_snr0.5,0.8,0.5,level_1s,1.0,raw_cusum,0.30151134457776363,False,0.592,0.022000910893877113,170.4576612903226
ar1_phi0.95_snr0.5,0.95,0.5,level_1s,1.0,lsc_kalman_cusum,0.15617376188860618,False,0.112,0.014117741364768125,234.76565656565657
ar1_phi0.95_snr0.5,0.95,0.5,level_1s,1.0,raw_cusum,0.15617376188860618,False,0.3,0.020514426225627987,220.66933867735472
ar1_phi0.99_snr0.5,0.99,0.5,level_1s,1.0,lsc_kalman_cusum,0.07053456158585986,False,0.084,0.012417584015643749,240.6024096385542
ar1_phi0.99_snr0.5,0.99,0.5,level_1s,1.0,raw_cusum,0.07053456158585986,False,0.146,0.015807205175834907,237.066
ar1_phi0.5_snr2.0,0.5,2.0,level_1s,1.0,lsc_kalman_cusum,0.5345224838248489,True,0.83,0.016815633531393464,103.93548387096774
ar1_phi0.5_snr2.0,0.5,2.0,level_1s,1.0,raw_cusum,0.5345224838248489,True,0.966,0.008112930375552174,64.9775967413442
ar1_phi0.8_snr2.0,0.8,2.0,level_1s,1.0,lsc_kalman_cusum,0.324442842261525,False,0.368,0.021588982568353548,196.62729124236253
ar1_phi0.8_snr2.0,0.8,2.0,level_1s,1.0,raw_cusum,0.324442842261525,False,0.726,0.019966103540279518,152.3266129032258
ar1_phi0.95_snr2.0,0.95,2.0,level_1s,1.0,lsc_kalman_cusum,0.15911145683514616,False,0.116,0.01433523623788572,232.29278350515463
ar1_phi0.95_snr2.0,0.95,2.0,level_1s,1.0,raw_cusum,0.15911145683514616,False,0.294,0.02039509548493655,223.43887775551102
ar1_phi0.99_snr2.0,0.99,2.0,level_1s,1.0,lsc_kalman_cusum,0.07079923254047886,False,0.066,0.011114633153652916,241.9268292682927
ar1_phi0.99_snr2.0,0.99,2.0,level_1s,1.0,raw_cusum,0.07079923254047886,False,0.144,0.015716934945725784,238.546
ar1_phi0.5_snr0.1,0.5,0.1,level_3s,3.0,lsc_kalman_cusum,0.8320502943378437,True,0.982,0.005951709476392708,32.963855421686745
ar1_phi0.5_snr0.1,0.5,0.1,level_3s,3.0,raw_cusum,0.8320502943378437,True,0.992,0.003987957825156938,26.379032258064516
ar1_phi0.8_snr0.1,0.8,0.1,level_3s,3.0,lsc_kalman_cusum,0.6882472016116854,True,0.932,0.01126969440686162,57.52208835341366
ar1_phi0.8_snr0.1,0.8,0.1,level_3s,3.0,raw_cusum,0.6882472016116854,True,0.992,0.003987957825156938,37.96975806451613
