T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_phi0.5_snr0.1,level_1s,lsc_kalman_cusum,500,0.29,0.020313179231745138,0.004,0.002825591608118863,0.706,0.02039509548493655,212.6586345381526,3.0784353281897507,118.0,121.75172413793103,5.601087153593802
500,ar1_phi0.5_snr0.1,level_1s,raw_cusum,500,0.316,0.02081235951585582,0.008,0.003987957825156938,0.676,0.02095055731247756,209.08064516129033,3.171222204388322,114.0,121.54430379746836,5.283509407106166
500,ar1_phi0.5_snr0.1,level_3s,lsc_kalman_cusum,500,0.982,0.005951709476392708,0.004,0.002825591608118863,0.014,0.005259593772650755,32.963855421686745,1.6217481140541068,23.0,29.869653767820775,1.1470023346591858
500,ar1_phi0.5_snr0.1,level_3s,raw_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,26.379032258064516,0.7729405148454757,22.5,26.379032258064516,0.7729405148454757
500,ar1_phi0.8_snr0.1,level_1s,lsc_kalman_cusum,500,0.24,0.0191188666537598,0.004,0.002825591608118863,0.756,0.01922673489361464,218.4437751004016,2.9479462348487213,107.5,119.04166666666667,6.421355693328533
500,ar1_phi0.8_snr0.1,level_1s,raw_cusum,500,0.252,0.019435727282249564,0.008,0.003987957825156938,0.74,0.019635965529725533,217.28024193548387,2.9183259114868614,108.0,121.1984126984127,5.810171921520186
500,ar1_phi0.8_snr0.1,level_3s,lsc_kalman_cusum,500,0.932,0.01126969440686162,0.004,0.002825591608118863,0.064,0.01095664621097098,57.52208835341366,2.8777043108612683,31.0,44.30472103004292,1.9005510707869462
500,ar1_phi0.8_snr0.1,level_3s,raw_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,37.96975806451613,1.257931089325922,32.0,37.96975806451613,1.257931089325922
500,ar1_phi0.95_snr0.1,level_1s,lsc_kalman_cusum,500,0.13,0.015055009352810992,0.014,0.005259593772650755,0.856,0.015716934945725784,235.51926977687626,1.9855833852738736,145.0,140.16923076923078,8.139161304800522
500,ar1_phi0.95_snr0.1,level_1s,raw_cusum,500,0.198,0.01783895896384729,0.01,0.004454175497072093,0.792,0.018169542221229962,226.93131313131312,2.467421279267059,133.0,134.65656565656565,6.696395705411011
500,ar1_phi0.95_snr0.1,level_3s,lsc_kalman_cusum,500,0.654,0.021294951277234693,0.014,0.005259593772650755,0.332,0.0210817665712228,126.5841784989858,4.325724486425425,50.0,63.932721712538225,2.6109577248347473
500,ar1_phi0.95_snr0.1,level_3s,raw_cusum,500,0.966,0.008112930375552174,0.01,0.004454175497072093,0.024,0.00685141472745119,76.61616161616162,2.4104499513254214,58.0,72.30848861283644,2.1248124500103716
500,ar1_phi0.99_snr0.1,level_1s,lsc_kalman_cusum,500,0.146,0.015807205175834907,0.02,0.006267260734501832,0.834,0.016656616876531173,231.61020408163265,2.356354872299616,120.0,126.56164383561644,8.545473008715351
500,ar1_phi0.99_snr0.1,level_1s,raw_cusum,500,0.146,0.015807205175834903,0.002,0.002,0.852,0.01589645856125128,233.40881763527054,2.104799288205661,138.0,136.58904109589042,7.54662916315584
500,ar1_phi0.99_snr0.1,level_3s,lsc_kalman_cusum,500,0.626,0.021660710347204473,0.02,0.006267260734501832,0.354,0.02140758204791649,135.31020408163266,4.310767578912213,53.0,70.45367412140575,2.8760855998242807
500,ar1_phi0.99_snr0.1,level_3s,raw_cusum,500,0.754,0.019279819056352458,0.002,0.002,0.244,0.01922673489361464,146.8697394789579,3.4496625867850925,105.0,113.49602122015915,2.9573341734783027
500,ar1_phi0.5_snr0.5,level_1s,lsc_kalman_cusum,500,0.654,0.021294951277234693,0.004,0.002825591608118863,0.342,0.021236147199899313,146.7309236947791,4.0480116707342555,76.0,92.72782874617737,3.463068067715076
500,ar1_phi0.5_snr0.5,level_1s,raw_cusum,500,0.856,0.015716934945725784,0.01,0.004454175497072093,0.134,0.01524969200385453,106.94141414141414,3.487346952375955,67.5,84.54672897196262,2.755887115696369
500,ar1_phi0.5_snr0.5,level_3s,lsc_kalman_cusum,500,0.996,0.002825591608118863,0.004,0.002825591608118863,0.0,0.0,10.680722891566266,0.2464443759297008,10.0,10.680722891566266,0.2464443759297008
500,ar1_phi0.5_snr0.5,level_3s,raw_cusum,500,0.99,0.004454175497072094,0.01,0.004454175497072093,0.0,0.0,11.391919191919191,0.1859363141336859,11.0,11.391919191919191,0.1859363141336859
500,ar1_phi0.8_snr0.5,level_1s,lsc_kalman_cusum,500,0.306,0.020629569998345417,0.012,0.004874373707264981,0.682,0.020847571620814017,205.7914979757085,3.3953811618480607,96.0,107.26143790849673,5.310708681313993
500,ar1_phi0.8_snr0.5,level_1s,raw_cusum,500,0.592,0.022000910893877113,0.008,0.003987957825156938,0.4,0.02193084412072858,170.4576612903226,3.6160389464799274,112.0,116.71283783783784,3.533039837071878
500,ar1_phi0.8_snr0.5,level_3s,lsc_kalman_cusum,500,0.968,0.007878842066230875,0.012,0.004874373707264981,0.02,0.006267260734501832,29.62753036437247,1.7704554757504551,18.0,25.074380165289256,1.0701314394265795
