T,arena,method,threshold,far_target,far_empirical
500,ll_snr0.1,raw_cusum,1533.492414092684,0.05,0.078
500,ll_snr0.1,lsc_kalman_cusum,11.197694558174756,0.05,0.05
500,ll_snr0.1,raw_var_cusum,10374.292670734001,0.05,0.062
500,ll_snr0.1,arima_var_cusum,223.71515482133586,0.05,0.054
500,ll_snr0.1,lsc_composite,18.428204885479172,0.05,0.054
500,ll_snr0.5,raw_cusum,2090.549643014459,0.05,0.066
500,ll_snr0.5,lsc_kalman_cusum,10.076901570120562,0.05,0.052
500,ll_snr0.5,raw_var_cusum,17462.722731689606,0.05,0.06
500,ll_snr0.5,arima_var_cusum,142.69268480096125,0.05,0.056
500,ll_snr0.5,lsc_composite,16.404634370187956,0.05,0.048
500,ll_snr2.0,raw_cusum,2371.888620982735,0.05,0.054
500,ll_snr2.0,lsc_kalman_cusum,9.19811123749563,0.05,0.06
500,ll_snr2.0,raw_var_cusum,22297.3432289721,0.05,0.05
500,ll_snr2.0,arima_var_cusum,131.9546420601371,0.05,0.058
500,ll_snr2.0,lsc_composite,13.458685741284038,0.05,0.058
