scenario,arena,raw_cusum,lsc_kalman_cusum,raw_var_cusum,arima_var_cusum,lsc_composite
level_1s,ll_snr0.1,0.078,0.038,0.06,0.038,0.03
level_1s,ll_snr0.5,0.074,0.034,0.07,0.04,0.036
level_1s,ll_snr2.0,0.066,0.03,0.066,0.062,0.046
level_3s,ll_snr0.1,0.104,0.15,0.104,0.042,0.07
level_3s,ll_snr0.5,0.074,0.054,0.072,0.05,0.068
level_3s,ll_snr2.0,0.07,0.042,0.062,0.068,0.068
variance_x1.5,ll_snr0.1,0.082,0.078,0.062,0.712,0.972
variance_x1.5,ll_snr0.5,0.068,0.056,0.064,0.836,0.894
variance_x1.5,ll_snr2.0,0.056,0.05,0.064,0.584,0.678
variance_x3,ll_snr0.1,0.08,0.928,0.076,0.974,0.986
variance_x3,ll_snr0.5,0.066,0.668,0.064,0.976,0.986
variance_x3,ll_snr2.0,0.056,0.26,0.066,0.996,0.976
