T,arena,method,threshold,far_target,far_empirical
500,ar1_phi0.1,raw_var_cusum,110.60858814029315,0.05,0.048
500,ar1_phi0.1,arima_var_cusum,498.98287066845415,0.05,0.048
500,ar1_phi0.1,lsc_composite,22.75648643046398,0.05,0.07
500,ar1_phi0.5,raw_var_cusum,107.12045197701316,0.05,0.06
500,ar1_phi0.5,arima_var_cusum,342.70085382908536,0.05,0.048
500,ar1_phi0.5,lsc_composite,28.975807009042136,0.05,0.074
500,ar1_phi0.7,raw_var_cusum,108.31611595144723,0.05,0.056
500,ar1_phi0.7,arima_var_cusum,223.2241847761481,0.05,0.052
500,ar1_phi0.7,lsc_composite,29.19268973205536,0.05,0.064
500,ar1_phi0.85,raw_var_cusum,122.65844073154463,0.05,0.064
500,ar1_phi0.85,arima_var_cusum,175.12584485750395,0.05,0.048
500,ar1_phi0.85,lsc_composite,27.830959027193117,0.05,0.062
500,ar1_phi0.95,raw_var_cusum,274.7980872735383,0.05,0.066
500,ar1_phi0.95,arima_var_cusum,173.074957693661,0.05,0.06
500,ar1_phi0.95,lsc_composite,32.528390406406224,0.05,0.048
500,ar1_phi0.99,raw_var_cusum,1829.7428468092633,0.05,0.062
500,ar1_phi0.99,arima_var_cusum,313.48253846093667,0.05,0.03
500,ar1_phi0.99,lsc_composite,49.92423306684649,0.05,0.038
