T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_phi0.1,qvar_x1.5,raw_var_cusum,500,0.052,0.00993929470125102,0.0,0.0,0.948,0.009939294701251024,245.706,0.9817855844672683,176.5,167.42307692307693,10.555373852202646
500,ar1_phi0.1,qvar_x1.5,arima_var_cusum,500,0.052,0.00993929470125102,0.004,0.002825591608118863,0.944,0.01029271002989587,243.570281124498,1.4071163438967862,125.0,126.84615384615384,13.376522752447498
500,ar1_phi0.1,qvar_x1.5,lsc_composite,500,0.036,0.008339490043664343,0.022,0.006566447781940087,0.942,0.010463793860924815,246.73824130879345,0.9994938519422842,197.5,161.38888888888889,18.28051909434606
500,ar1_phi0.1,qvar_x3,raw_var_cusum,500,0.402,0.021948929609938706,0.0,0.0,0.598,0.021948929609938706,213.96,2.521676129284251,163.0,160.34825870646767,3.928621920760799
500,ar1_phi0.1,qvar_x3,arima_var_cusum,500,0.058,0.010463793860924815,0.004,0.002825591608118863,0.938,0.010795605132662119,242.5120481927711,1.5090150175005022,126.0,121.41379310344827,11.745821732886007
500,ar1_phi0.1,qvar_x3,lsc_composite,500,0.246,0.019279819056352458,0.022,0.006566447781940087,0.732,0.019827714859587477,227.59713701431494,2.1859978101377493,198.0,160.9349593495935,5.227335391720537
500,ar1_phi0.5,qvar_x1.5,raw_var_cusum,500,0.062,0.010795605132662119,0.0,0.0,0.938,0.010795605132662119,244.982,1.1076104702953182,177.0,169.06451612903226,11.149515200789034
500,ar1_phi0.5,qvar_x1.5,arima_var_cusum,500,0.046,0.009377840251121315,0.01,0.004454175497072093,0.944,0.01029271002989587,243.41616161616162,1.5030419008324691,92.0,108.30434782608695,14.884062461111865
500,ar1_phi0.5,qvar_x1.5,lsc_composite,500,0.04,0.008772337648291433,0.032,0.007878842066230875,0.928,0.011571508095282929,245.64256198347107,1.1108411149114177,159.5,144.55,14.073393149373825
500,ar1_phi0.5,qvar_x3,raw_var_cusum,500,0.598,0.021948929609938706,0.0,0.0,0.402,0.021948929609938706,192.762,2.833566818310035,159.0,154.28428093645485,3.1818201811396287
500,ar1_phi0.5,qvar_x3,arima_var_cusum,500,0.072,0.011571508095282932,0.01,0.004454175497072093,0.918,0.012282251724127365,240.95555555555555,1.7062925513324252,116.5,125.63888888888889,12.461378607125434
500,ar1_phi0.5,qvar_x3,lsc_composite,500,0.4,0.02193084412072858,0.032,0.007878842066230875,0.568,0.022175109265613186,218.72107438016528,2.1540195178232726,199.0,174.305,3.218353440712616
500,ar1_phi0.7,qvar_x1.5,raw_var_cusum,500,0.082,0.012282251724127365,0.0,0.0,0.918,0.012282251724127365,243.566,1.240445362518958,185.0,171.53658536585365,9.633155243865287
500,ar1_phi0.7,qvar_x1.5,arima_var_cusum,500,0.044,0.009181317617116443,0.012,0.004874373707264981,0.944,0.01029271002989587,244.81376518218624,1.3176046197964497,138.5,133.54545454545453,17.26665420690945
500,ar1_phi0.7,qvar_x1.5,lsc_composite,500,0.042,0.008979602804860922,0.012,0.004874373707264981,0.946,0.010117941761592718,244.6740890688259,1.3069059849133027,100.0,124.71428571428571,15.457798595368164
500,ar1_phi0.7,qvar_x3,raw_var_cusum,500,0.846,0.016158285192455334,0.0,0.0,0.154,0.016158285192455334,154.62,2.903575157869138,136.0,137.25768321513002,2.6730526211103625
500,ar1_phi0.7,qvar_x3,arima_var_cusum,500,0.318,0.020847571620814014,0.012,0.004874373707264981,0.67,0.02104961216613478,228.43117408906883,2.00148293143412,200.0,182.98742138364778,4.422775327631847
500,ar1_phi0.7,qvar_x3,lsc_composite,500,0.56,0.022221331534143053,0.012,0.004874373707264981,0.428,0.022149790663861944,194.834008097166,2.9057401019370754,177.5,152.67142857142858,3.4079396082732494
500,ar1_phi0.85,qvar_x1.5,raw_var_cusum,500,0.152,0.016071982367911835,0.0,0.0,0.848,0.016071982367911835,238.584,1.5232249724296365,183.0,174.89473684210526,6.146674438116879
500,ar1_phi0.85,qvar_x1.5,arima_var_cusum,500,0.048,0.009569490597759172,0.012,0.004874373707264981,0.94,0.01063137113001933,246.23684210526315,0.9966176332101756,191.5,172.54166666666666,13.785228805230634
500,ar1_phi0.85,qvar_x1.5,lsc_composite,500,0.082,0.012282251724127365,0.016,0.0056170367814719555,0.902,0.013309631572104852,241.8191056910569,1.5080229372820892,146.0,151.82926829268294,10.682724967465818
500,ar1_phi0.85,qvar_x3,raw_var_cusum,500,0.972,0.0073851934412260765,0.0,0.0,0.028,0.0073851934412260765,109.458,2.4647154229712736,98.0,105.40946502057614,2.285444232779128
500,ar1_phi0.85,qvar_x3,arima_var_cusum,500,0.768,0.018896193591952035,0.012,0.004874373707264981,0.22,0.01854421137582028,174.585020242915,2.820065906243224,154.0,152.98177083333334,2.774336584871293
500,ar1_phi0.85,qvar_x3,lsc_composite,500,0.716,0.020186703693570774,0.016,0.0056170367814719555,0.268,0.019827714859587477,153.6951219512195,3.46022306988456,107.0,117.64804469273743,3.0441946224095333
500,ar1_phi0.95,qvar_x1.5,raw_var_cusum,500,0.212,0.01829703700401386,0.002,0.002,0.786,0.01835979750238704,232.78957915831663,1.8688314178140306,181.0,168.9811320754717,5.361286490755037
500,ar1_phi0.95,qvar_x1.5,arima_var_cusum,500,0.1,0.013429844431075358,0.002,0.002,0.898,0.01354839910234685,240.24649298597194,1.540555616850522,161.0,152.66,8.168861235052963
500,ar1_phi0.95,qvar_x1.5,lsc_composite,500,0.106,0.01378070446788779,0.008,0.003987957825156938,0.886,0.014227186146645534,235.90725806451613,2.06889102959498,127.0,118.11320754716981,9.085973031779393
500,ar1_phi0.95,qvar_x3,raw_var_cusum,500,0.962,0.008559118940292168,0.002,0.002,0.036,0.008339490043664344,113.89579158316633,2.5979151855305185,104.0,108.8024948024948,2.401258834981614
500,ar1_phi0.95,qvar_x3,arima_var_cusum,500,0.794,0.018104794037333553,0.002,0.002,0.204,0.01803936910413861,162.98797595190382,3.042912012862488,141.0,140.632241813602,2.9089149252675828
500,ar1_phi0.95,qvar_x3,lsc_composite,500,0.76,0.019118866653759798,0.008,0.003987957825156938,0.232,0.018896193591952035,152.69354838709677,3.44140865008553,127.0,122.98947368421052,3.199309003446363
500,ar1_phi0.99,qvar_x1.5,raw_var_cusum,500,0.136,0.015345323649758305,0.0,0.0,0.864,0.015345323649758305,238.428,1.6426582981768114,174.5,164.91176470588235,7.375949077906927
500,ar1_phi0.99,qvar_x1.5,arima_var_cusum,500,0.062,0.010795605132662119,0.004,0.002825591608118863,0.934,0.011114633153652916,241.76305220883535,1.5824607037990406,119.0,117.6774193548387,10.915155400287146
