scenario,phi,snr,amp,raw,arima,composite,adv_vs_arima,adv_vs_comp
qvar_x1.5,0.1,0.049,1.01,0.052,0.052,0.036,0.0,0.016
qvar_x1.5,0.5,0.065,1.33,0.062,0.046,0.04,0.016,0.022
qvar_x1.5,0.7,0.096,1.96,0.082,0.044,0.042,0.038000000000000006,0.04
qvar_x1.5,0.85,0.176,3.6,0.152,0.048,0.082,0.104,0.06999999999999999
qvar_x1.5,0.95,0.5,10.26,0.212,0.1,0.106,0.11199999999999999,0.106
qvar_x1.5,0.99,2.45,50.25,0.136,0.062,0.07,0.07400000000000001,0.066
qvar_x3,0.1,0.049,1.01,0.402,0.058,0.246,0.34400000000000003,0.15600000000000003
qvar_x3,0.5,0.065,1.33,0.598,0.072,0.4,0.526,0.19799999999999995
qvar_x3,0.7,0.096,1.96,0.846,0.318,0.56,0.528,0.2859999999999999
qvar_x3,0.85,0.176,3.6,0.972,0.768,0.716,0.20399999999999996,0.256
qvar_x3,0.95,0.5,10.26,0.962,0.794,0.76,0.16799999999999993,0.20199999999999996
qvar_x3,0.99,2.45,50.25,0.58,0.278,0.52,0.30199999999999994,0.05999999999999994
