T,arena,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
500,ar1_phi99_snr0.1,variance_x1.5,raw_var_cusum,500,0.976,0.00685141472745119,0.0,0.0,0.024,0.00685141472745119,132.234,2.2792816275034884,126.0,129.33811475409837,2.1763574707328313
500,ar1_phi99_snr0.1,variance_x1.5,arima_var_cusum,500,0.58,0.02209471322976179,0.026,0.007123868260853507,0.394,0.02187429930168918,211.73305954825463,2.1687646676454513,191.0,185.73793103448276,2.7390987145029437
500,ar1_phi99_snr0.1,variance_x3,raw_var_cusum,500,1.0,0.0,0.0,0.0,0.0,0.0,21.798,0.3897823142537511,21.0,21.798,0.3897823142537511
500,ar1_phi99_snr0.1,variance_x3,arima_var_cusum,500,0.974,0.007123868260853507,0.026,0.007123868260853507,0.0,0.0,39.082135523613964,0.5772870179339686,38.0,39.082135523613964,0.5772870179339686
500,ar1_phi99_snr0.5,variance_x1.5,raw_var_cusum,500,0.24,0.019118866653759798,0.0,0.0,0.76,0.019118866653759798,232.286,1.891557132303843,189.0,176.19166666666666,5.265237934687303
500,ar1_phi99_snr0.5,variance_x1.5,arima_var_cusum,500,0.2,0.01790645924143381,0.012,0.004874373707264981,0.788,0.01829703700401386,237.82388663967612,1.4668651105855448,200.0,189.85,4.87691687255567
500,ar1_phi99_snr0.5,variance_x3,raw_var_cusum,500,1.0,0.0,0.0,0.0,0.0,0.0,69.402,0.982753479160264,68.0,69.402,0.982753479160264
500,ar1_phi99_snr0.5,variance_x3,arima_var_cusum,500,0.988,0.004874373707264981,0.012,0.004874373707264981,0.0,0.0,56.406882591093115,0.7438398021925212,55.0,56.406882591093115,0.7438398021925212
500,ar1_phi99_snr2.0,variance_x1.5,raw_var_cusum,500,0.072,0.011571508095282932,0.0,0.0,0.928,0.011571508095282932,243.338,1.2896844901635192,171.0,157.47222222222223,10.117208827640216
500,ar1_phi99_snr2.0,variance_x1.5,arima_var_cusum,500,0.266,0.019780559675655392,0.008,0.003987957825156938,0.726,0.019966103540279518,232.48790322580646,1.8296483086770392,206.0,184.69172932330827,4.813379673753261
500,ar1_phi99_snr2.0,variance_x3,raw_var_cusum,500,0.558,0.022231970696321195,0.0,0.0,0.442,0.022231970696321195,208.254,2.318012366373683,182.0,175.1863799283154,2.8957553218525973
500,ar1_phi99_snr2.0,variance_x3,arima_var_cusum,500,0.992,0.003987957825156938,0.008,0.003987957825156938,0.0,0.0,49.431451612903224,0.6806322810679524,48.0,49.431451612903224,0.6806322810679524
