T,arena,break_channel,mag,scenario,method,detect_rate,detect_rate_se,mean_delay_censored,source
500,ar1_drift,r,x1.5,variance_x1.5,lsc_composite,0.966,0.0081129303755521,101.34567901234568,grid_v2_misspec
500,ar1_drift,r,x3,variance_x3,lsc_composite,0.972,0.007385193441226,16.448559670781894,grid_v2_misspec
500,ar1_snr0.1,q,x0.67,qvar_x0.67,arima_var_cusum,0.02,0.006267260734501832,248.29183673469387,grid_v5_qbreak
500,ar1_snr0.1,q,x0.67,qvar_x0.67,lsc_composite,0.024,0.00685141472745119,247.78383838383837,grid_v5_qbreak
500,ar1_snr0.1,q,x0.67,qvar_x0.67,lsc_tail_cusum,0.024,0.00685141472745119,248.05210420841684,grid_v5_qbreak
500,ar1_snr0.1,q,x0.67,qvar_x0.67,raw_var_cusum,0.016,0.0056170367814719555,248.76,grid_v5_qbreak
500,ar1_snr0.1,q,x1.5,qvar_x1.5,arima_var_cusum,0.032,0.007878842066230874,247.20408163265307,grid_v5_qbreak
500,ar1_snr0.1,q,x1.5,qvar_x1.5,lsc_composite,0.064,0.01095664621097098,244.08282828282827,grid_v5_qbreak
500,ar1_snr0.1,q,x1.5,qvar_x1.5,lsc_tail_cusum,0.046,0.009377840251121315,246.22845691382764,grid_v5_qbreak
500,ar1_snr0.1,q,x1.5,qvar_x1.5,raw_var_cusum,0.094,0.013064047561049166,242.818,grid_v5_qbreak
500,ar1_snr0.1,q,x3,qvar_x3,arima_var_cusum,0.262,0.019684688820194637,227.83265306122448,grid_v5_qbreak
500,ar1_snr0.1,q,x3,qvar_x3,lsc_composite,0.438,0.022210326363977382,196.74545454545455,grid_v5_qbreak
500,ar1_snr0.1,q,x3,qvar_x3,lsc_tail_cusum,0.41,0.022017482578127686,206.84168336673346,grid_v5_qbreak
500,ar1_snr0.1,q,x3,qvar_x3,raw_var_cusum,0.724,0.02001121929807355,173.304,grid_v5_qbreak
500,ar1_snr0.1,r,x0.67,variance_x0.67,arima_var_cusum,0.008,0.0039879578251569,248.85918367346935,grid_v4_varbench
500,ar1_snr0.1,r,x0.67,variance_x0.67,raw_var_cusum,0.322,0.0209166683300198,238.34,grid_v4_varbench
500,ar1_snr0.1,r,x1.5,variance_x1.5,arima_var_cusum,0.9,0.0134298444310753,157.0734693877551,grid_v4_varbench
500,ar1_snr0.1,r,x1.5,variance_x1.5,lsc_composite,0.818,0.0172727732977304,171.1252525252525,grid_v1
500,ar1_snr0.1,r,x1.5,variance_x1.5,raw_var_cusum,0.996,0.0028255916081188,104.174,grid_v4_varbench
500,ar1_snr0.1,r,x3,variance_x3,arima_var_cusum,0.98,0.0062672607345018,25.324489795918367,grid_v4_varbench
500,ar1_snr0.1,r,x3,variance_x3,lsc_composite,0.99,0.004454175497072,29.288888888888888,grid_v1
500,ar1_snr0.1,r,x3,variance_x3,raw_var_cusum,1.0,0.0,16.336,grid_v4_varbench
500,ar1_snr0.5,q,x0.67,qvar_x0.67,arima_var_cusum,0.014,0.005259593772650755,249.04008016032063,grid_v5_qbreak
500,ar1_snr0.5,q,x0.67,qvar_x0.67,lsc_composite,0.01,0.004454175497072093,248.6108870967742,grid_v5_qbreak
500,ar1_snr0.5,q,x0.67,qvar_x0.67,lsc_tail_cusum,0.018,0.005951709476392708,249.17034068136272,grid_v5_qbreak
500,ar1_snr0.5,q,x0.67,qvar_x0.67,raw_var_cusum,0.006,0.003457152557758369,249.07014028056113,grid_v5_qbreak
500,ar1_snr0.5,q,x1.5,qvar_x1.5,arima_var_cusum,0.1,0.013429844431075358,240.24649298597194,grid_v5_qbreak
500,ar1_snr0.5,q,x1.5,qvar_x1.5,lsc_composite,0.106,0.01378070446788779,235.90725806451613,grid_v5_qbreak
500,ar1_snr0.5,q,x1.5,qvar_x1.5,lsc_tail_cusum,0.078,0.012005008974630627,241.7695390781563,grid_v5_qbreak
