phi,snr,vol_mult,amp,raw,arima,adv_vs_arima
0.5,0.1,1.5,1.3333333333333333,0.996,0.41,0.5860000000000001
0.8,0.1,1.5,2.7777777777777786,0.996,0.842,0.15400000000000003
0.95,0.1,1.5,10.256410256410254,0.996,0.9,0.09599999999999997
0.99,0.1,1.5,50.25125628140696,0.976,0.58,0.396
0.5,0.5,1.5,1.3333333333333333,0.936,0.9,0.03600000000000003
0.8,0.5,1.5,2.7777777777777786,0.856,0.954,-0.09799999999999998
0.95,0.5,1.5,10.256410256410254,0.56,0.942,-0.3819999999999999
0.99,0.5,1.5,50.25125628140696,0.24,0.2,0.03999999999999998
0.5,2.0,1.5,1.3333333333333333,0.436,0.58,-0.14399999999999996
0.8,2.0,1.5,2.7777777777777786,0.212,0.826,-0.614
0.95,2.0,1.5,10.256410256410254,0.102,0.868,-0.766
0.99,2.0,1.5,50.25125628140696,0.072,0.266,-0.194
0.5,0.1,3.0,1.3333333333333333,1.0,0.996,0.0040000000000000036
0.8,0.1,3.0,2.7777777777777786,1.0,0.988,0.01200000000000001
0.95,0.1,3.0,10.256410256410254,1.0,0.98,0.020000000000000018
0.99,0.1,3.0,50.25125628140696,1.0,0.974,0.026000000000000023
0.5,0.5,3.0,1.3333333333333333,1.0,1.0,0.0
0.8,0.5,3.0,2.7777777777777786,0.998,1.0,-0.0020000000000000018
0.95,0.5,3.0,10.256410256410254,0.998,0.998,0.0
0.99,0.5,3.0,50.25125628140696,1.0,0.988,0.01200000000000001
0.5,2.0,3.0,1.3333333333333333,1.0,1.0,0.0
0.8,2.0,3.0,2.7777777777777786,0.992,1.0,-0.008000000000000007
0.95,2.0,3.0,10.256410256410254,0.852,0.998,-0.14600000000000002
0.99,2.0,3.0,50.25125628140696,0.558,0.992,-0.43399999999999994
