segment,method,date,feature
1,lsc_composite,1968-05-01,variance_pressure
1,lsc_tail_cusum,1969-10-01,exceedance_up
1,lsc_kalman_cusum,1969-12-01,
1,raw_cusum,1971-01-01,
2,lsc_composite,1973-05-01,variance_pressure
3,lsc_composite,1980-02-01,variance_pressure
3,lsc_tail_cusum,1981-02-01,exceedance_up
3,lsc_kalman_cusum,1980-02-01,
3,raw_cusum,1980-02-01,
4,lsc_composite,1983-05-01,variance_pressure
5,lsc_composite,1990-11-01,variance_quiet
5,lsc_tail_cusum,1989-10-01,shortfall_down
6,lsc_composite,1996-11-01,variance_quiet
6,lsc_tail_cusum,1993-10-01,shortfall_down
11,lsc_composite,2019-05-01,variance_quiet
