segment,method,date,feature
0,lsc_composite,1960-02-01,variance_pressure
1,lsc_composite,1964-09-01,variance_quiet
1,lsc_tail_cusum,1967-06-01,shortfall_down
1,raw_var_cusum,1965-05-01,down
2,lsc_composite,1968-01-01,variance_quiet
2,lsc_tail_cusum,1969-05-01,shortfall_down
2,raw_var_cusum,1968-01-01,down
3,lsc_composite,1974-12-01,variance_pressure
3,lsc_tail_cusum,1975-07-01,exceedance_up
3,lsc_kalman_cusum,1974-12-01,
3,raw_var_cusum,1974-12-01,up_slow
5,raw_var_cusum,1986-11-01,down
6,lsc_composite,1988-08-01,variance_quiet
6,lsc_tail_cusum,1989-06-01,shortfall_down
6,raw_var_cusum,1988-01-01,down
9,lsc_composite,2005-10-01,variance_pressure
10,lsc_composite,2008-09-01,variance_pressure
10,lsc_tail_cusum,2009-01-01,exceedance_up
10,lsc_kalman_cusum,2008-09-01,
10,raw_cusum,2008-09-01,
10,raw_var_cusum,2008-09-01,up_slow
11,lsc_composite,2014-10-01,variance_quiet
11,lsc_tail_cusum,2015-03-01,shortfall_down
11,raw_var_cusum,2014-07-01,down
12,lsc_composite,2018-01-01,variance_quiet
12,lsc_tail_cusum,2020-12-01,exceedance_up
12,lsc_kalman_cusum,2020-03-01,
12,raw_cusum,2020-04-01,
12,raw_var_cusum,2018-01-01,down
