method,event,first_alarm,delay_months
lsc_composite,1948-11,none,
lsc_composite,1953-07,none,
lsc_composite,1957-08,none,
lsc_composite,1960-04,none,
lsc_composite,1969-12,none,
lsc_composite,1973-11,1974-12,13.0
lsc_composite,1980-01,none,
lsc_composite,1981-07,none,
lsc_composite,1990-07,none,
lsc_composite,2001-03,none,
lsc_composite,2007-12,2008-09,9.0
lsc_composite,2020-02,none,
lsc_tail_cusum,1948-11,none,
lsc_tail_cusum,1953-07,none,
lsc_tail_cusum,1957-08,none,
lsc_tail_cusum,1960-04,none,
lsc_tail_cusum,1969-12,none,
lsc_tail_cusum,1973-11,1975-07,20.0
lsc_tail_cusum,1980-01,none,
lsc_tail_cusum,1981-07,none,
lsc_tail_cusum,1990-07,none,
lsc_tail_cusum,2001-03,none,
lsc_tail_cusum,2007-12,2009-01,13.0
lsc_tail_cusum,2020-02,2020-12,10.0
raw_var_cusum,1948-11,none,
raw_var_cusum,1953-07,none,
raw_var_cusum,1957-08,none,
raw_var_cusum,1960-04,none,
raw_var_cusum,1969-12,none,
raw_var_cusum,1973-11,1974-12,13.0
raw_var_cusum,1980-01,none,
raw_var_cusum,1981-07,none,
raw_var_cusum,1990-07,none,
raw_var_cusum,2001-03,none,
raw_var_cusum,2007-12,2008-09,9.0
raw_var_cusum,2020-02,none,
lsc_kalman_cusum,1948-11,none,
lsc_kalman_cusum,1953-07,none,
lsc_kalman_cusum,1957-08,none,
lsc_kalman_cusum,1960-04,none,
lsc_kalman_cusum,1969-12,none,
lsc_kalman_cusum,1973-11,1974-12,13.0
lsc_kalman_cusum,1980-01,none,
lsc_kalman_cusum,1981-07,none,
lsc_kalman_cusum,1990-07,none,
lsc_kalman_cusum,2001-03,none,
lsc_kalman_cusum,2007-12,2008-09,9.0
lsc_kalman_cusum,2020-02,2020-03,1.0
raw_cusum,1948-11,none,
raw_cusum,1953-07,none,
raw_cusum,1957-08,none,
raw_cusum,1960-04,none,
raw_cusum,1969-12,none,
raw_cusum,1973-11,none,
raw_cusum,1980-01,none,
raw_cusum,1981-07,none,
raw_cusum,1990-07,none,
raw_cusum,2001-03,none,
raw_cusum,2007-12,2008-09,9.0
raw_cusum,2020-02,2020-04,2.0
