segment,method,date,feature
0,lsc_tail_cusum,1967-07-01,shortfall_down
0,raw_var_cusum,1966-05-01,down
1,lsc_tail_cusum,1969-07-01,shortfall_down
1,raw_var_cusum,1968-01-01,down
2,raw_var_cusum,1973-01-01,down
5,lsc_tail_cusum,1991-11-01,shortfall_down
5,raw_var_cusum,1989-10-01,down
6,lsc_composite,1993-09-01,variance_quiet
6,lsc_tail_cusum,1994-02-01,shortfall_down
6,raw_var_cusum,1993-01-01,down
8,lsc_composite,2005-11-01,variance_pressure
9,lsc_composite,2008-09-01,variance_pressure
9,lsc_tail_cusum,2009-08-01,exceedance_up
9,lsc_kalman_cusum,2008-09-01,
9,raw_cusum,2009-04-01,
9,raw_var_cusum,2008-09-01,up_slow
10,lsc_composite,2013-01-01,variance_pressure
10,raw_var_cusum,2013-01-01,up_slow
11,lsc_composite,2020-04-01,variance_pressure
11,lsc_tail_cusum,2021-03-01,exceedance_up
11,lsc_kalman_cusum,2020-04-01,
11,raw_cusum,2020-04-01,
11,raw_var_cusum,2018-01-01,down
