segment,method,date,feature
0,raw_var_cusum,1963-01-01,down
1,raw_var_cusum,1968-01-01,down
2,lsc_tail_cusum,1972-06-01,shortfall_down
2,raw_var_cusum,1968-11-01,down
3,lsc_composite,1975-01-01,variance_pressure
3,lsc_tail_cusum,1976-01-01,exceedance_up
3,lsc_kalman_cusum,1974-11-01,
3,raw_cusum,1974-11-01,
3,raw_var_cusum,1974-12-01,up_slow
6,lsc_tail_cusum,1992-10-01,shortfall_down
6,raw_var_cusum,1992-07-01,down
8,lsc_kalman_cusum,2001-11-01,
8,raw_cusum,2001-12-01,
9,lsc_tail_cusum,2007-11-01,shortfall_down
10,lsc_composite,2008-11-01,break_pressure
10,lsc_tail_cusum,2008-12-01,exceedance_up
10,lsc_kalman_cusum,2008-08-01,
10,raw_cusum,2008-10-01,
10,raw_var_cusum,2008-12-01,up_slow
12,lsc_composite,2020-04-01,variance_pressure
12,lsc_tail_cusum,2020-10-01,exceedance_up
12,lsc_kalman_cusum,2020-04-01,
12,raw_cusum,2020-04-01,
12,raw_var_cusum,2020-04-01,up_slow
