series,segment,train_start,train_end,test_start,test_end,n_train,n_monitor
indpro,0,1948-01,1957-12,1958-01,1962-12,120,60
indpro,1,1953-01,1962-12,1963-01,1967-12,120,60
indpro,2,1958-01,1967-12,1968-01,1972-12,120,60
indpro,3,1963-01,1972-12,1973-01,1977-12,120,60
indpro,4,1968-01,1977-12,1978-01,1982-12,120,60
indpro,5,1973-01,1982-12,1983-01,1987-12,120,60
indpro,6,1978-01,1987-12,1988-01,1992-12,120,60
indpro,7,1983-01,1992-12,1993-01,1997-12,120,60
indpro,8,1988-01,1997-12,1998-01,2002-12,120,60
indpro,9,1993-01,2002-12,2003-01,2007-12,120,60
indpro,10,1998-01,2007-12,2008-01,2012-12,120,60
indpro,11,2003-01,2012-12,2013-01,2017-12,120,60
indpro,12,2008-01,2017-12,2018-01,2022-12,120,60
gdp,0,1947-04,1962-01,1962-04,1967-01,60,20
gdp,1,1952-04,1967-01,1967-04,1972-01,60,20
gdp,2,1957-04,1972-01,1972-04,1977-01,60,20
gdp,3,1962-04,1977-01,1977-04,1982-01,60,20
gdp,4,1967-04,1982-01,1982-04,1987-01,60,20
gdp,5,1972-04,1987-01,1987-04,1992-01,60,20
gdp,6,1977-04,1992-01,1992-04,1997-01,60,20
gdp,7,1982-04,1997-01,1997-04,2002-01,60,20
gdp,8,1987-04,2002-01,2002-04,2007-01,60,20
gdp,9,1992-04,2007-01,2007-04,2012-01,60,20
gdp,10,1997-04,2012-01,2012-04,2017-01,60,20
gdp,11,2002-04,2017-01,2017-04,2022-01,60,20
gs10,0,1953-05,1963-04,1963-05,1968-04,120,60
gs10,1,1958-05,1968-04,1968-05,1973-04,120,60
gs10,2,1963-05,1973-04,1973-05,1978-04,120,60
gs10,3,1968-05,1978-04,1978-05,1983-04,120,60
gs10,4,1973-05,1983-04,1983-05,1988-04,120,60
gs10,5,1978-05,1988-04,1988-05,1993-04,120,60
gs10,6,1983-05,1993-04,1993-05,1998-04,120,60
gs10,7,1988-05,1998-04,1998-05,2003-04,120,60
gs10,8,1993-05,2003-04,2003-05,2008-04,120,60
gs10,9,1998-05,2008-04,2008-05,2013-04,120,60
gs10,10,2003-05,2013-04,2013-05,2018-04,120,60
gs10,11,2008-05,2018-04,2018-05,2023-04,120,60
unrate,0,1948-02,1958-01,1958-02,1963-01,120,60
unrate,1,1953-02,1963-01,1963-02,1968-01,120,60
unrate,2,1958-02,1968-01,1968-02,1973-01,120,60
unrate,3,1963-02,1973-01,1973-02,1978-01,120,60
unrate,4,1968-02,1978-01,1978-02,1983-01,120,60
unrate,5,1973-02,1983-01,1983-02,1988-01,120,60
unrate,6,1978-02,1988-01,1988-02,1993-01,120,60
unrate,7,1983-02,1993-01,1993-02,1998-01,120,60
unrate,8,1988-02,1998-01,1998-02,2003-01,120,60
unrate,9,1993-02,2003-01,2003-02,2008-01,120,60
unrate,10,1998-02,2008-01,2008-02,2013-01,120,60
unrate,11,2003-02,2013-01,2013-02,2018-01,120,60
unrate,12,2008-02,2018-01,2018-02,2023-01,120,60
